Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,0.735859496633,3.48422763264,0.0,3.09268021219,0.0828079737629,0.0828079737629,0.0828079737629,0.13299183107,0.0275544175015,0.092942924749,0.38421434955,0.365081273119
 01/01  02:00:00,0.634607219719,3.88407733605,0.0,3.57271850295,0.0956612257834,0.0956612257834,0.0956612257834,0.0775785967864,0.0160734078338,0.0761857795615,0.353760209753,0.286990482878
 01/01  03:00:00,0.596695952178,4.11650441666,0.0,3.82695522869,0.102468534225,0.102468534225,0.102468534225,0.0554132755573,0.0114810068172,0.0623264934745,0.349658642104,0.265463369345
 01/01  04:00:00,0.588290101875,4.3039343141,0.0,4.00869222058,0.107334628041,0.107334628041,0.107334628041,0.0554132755573,0.0114810068172,0.0539764305342,0.344736760925,0.271495312817
 01/01  05:00:00,0.592456139601,4.56575703796,0.0,4.20820620685,0.11267670928,0.11267670928,0.11267670928,0.0554132755573,0.0114810068172,0.0658228643082,0.331714283638,0.334701088216
 01/01  06:00:00,0.645603523436,4.8570269152,0.0,4.22463433351,0.113116580133,0.113116580133,0.113116580133,0.0554132755573,0.0114810068172,0.080078180578,0.370166480351,0.606894105087
 01/01  07:00:00,0.866922604543,5.98900912919,0.0,4.84186572055,0.129643242121,0.129643242121,0.129643242121,0.127450542036,0.0264063108338,0.14038354292,0.427690966632,1.11768242639
 01/01  08:00:00,1.13680697545,5.36702010219,0.0,4.0721928543,0.109034887509,0.109034887509,0.109034887509,0.260442373107,0.0539607283354,0.228567290958,0.454453695544,1.26352274697
 01/01  09:00:00,1.08716636599,4.45238468545,0.0,3.19142121683,0.0854518108106,0.0854518108106,0.0854518108106,0.24935972625,0.0516645292523,0.30112795013,0.38421434955,1.23449732129
 01/01  10:00:00,0.927538489317,3.24840680431,0.0,2.10161003147,0.0562716014607,0.0562716014607,0.0562716014607,0.127450542036,0.0264063108338,0.375064554145,0.326997480842,1.12427194129
 01/01  11:00:00,0.917799907762,2.68875546309,0.0,1.67586127631,0.0448719774039,0.0448719774039,0.0448719774039,0.105285248323,0.0218139126677,0.395792849183,0.334687920184,0.989839608487
