Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 01/01  01:00:00,0.902898626245,1.59260689484,0.0,1.56463951646,0.0,0.0412739394766,0.0412739394766,0.0412739394766,0.154019476112,0.0331798974413,0.092942924749,0.40603492295,0.158803465516
 01/01  02:00:00,0.722889366495,1.88832058802,0.0,1.86256999944,0.0,0.0489243017987,0.0489243017987,0.0489243017987,0.0898447275923,0.0193549373138,0.0761857795615,0.373851210082,0.0980844101463
 01/01  03:00:00,0.663717004626,2.15774807146,0.0,2.13229604043,0.0,0.0557883110298,0.0557883110298,0.0557883110298,0.0641747963185,0.013824954979,0.0623264934745,0.369516703299,0.081441745526
 01/01  04:00:00,0.65937361397,2.33740879289,0.0,2.31231503093,0.0,0.0603308816254,0.0603308816254,0.0603308816254,0.0641747963185,0.013824954979,0.0539764305342,0.364315295158,0.0861072553544
 01/01  05:00:00,0.709918342132,2.47192817751,0.0,2.44778233576,0.0,0.0637613017313,0.0637613017313,0.0637613017313,0.0641747963185,0.013824954979,0.0658228643082,0.350553236121,0.135137188675
 01/01  06:00:00,0.973992216249,2.38933567234,0.0,2.36239085357,0.0,0.0614459522495,0.0614459522495,0.0614459522495,0.0641747963185,0.013824954979,0.080078180578,0.391189237216,0.346635094908
 01/01  07:00:00,1.58807085199,2.19969152494,0.0,2.16855943655,0.0,0.0562779260139,0.0562779260139,0.0562779260139,0.147602041092,0.0317973945638,0.14038354292,0.451980694856,0.743385252541
 01/01  08:00:00,2.02541474346,2.42797564739,0.0,2.39489547099,0.0,0.0620790361051,0.0620790361051,0.0620790361051,0.301621517204,0.0649772920051,0.228567290958,0.480263351619,0.856262255572
 01/01  09:00:00,1.96200021141,2.10437439675,0.0,2.07640701838,0.0,0.0538879792025,0.0538879792025,0.0538879792025,0.2887865675,0.062212303412,0.30112795013,0.40603492295,0.833306488219
 01/01  10:00:00,1.71471013653,1.9726450509,0.0,1.94884255033,0.0,0.0506049117352,0.0506049117352,0.0506049117352,0.147602041092,0.0317973945638,0.375064554145,0.345568553319,0.747428681675
