Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 01/01  01:00:00,1.62728535651,0.0,0.805156688993,0.0,0.0254581997154,0.830614888708,0.0254581997154,0.128562410501,0.0263694190929,0.092942924749,0.405549025336,0.12817168812
 01/01  02:00:00,1.5624124571,0.0,0.896511796401,0.0,0.0283482491193,0.92486004552,0.0283482491193,0.0749947671662,0.0153821588643,0.0761857795615,0.37340382637,0.0825108796174
 01/01  03:00:00,1.63840705538,0.0,1.02451744206,0.0,0.0324149148102,1.05693235687,0.0324149148102,0.0535676765835,0.0109872588647,0.0623264934745,0.369074506644,0.070443762938
 01/01  04:00:00,1.62705434441,0.0,1.02331256502,0.0,0.0323875982602,1.05570016328,0.0323875982602,0.0535676765835,0.0109872588647,0.0539764305342,0.363879322973,0.0738684921786
 01/01  05:00:00,1.66354453499,0.0,1.02536312841,0.0,0.0324462746377,1.05780940305,0.0324462746377,0.0535676765835,0.0109872588647,0.0658228643082,0.350133732842,0.110148599342
 01/01  06:00:00,1.85763666355,0.0,1.00677166636,0.0,0.0318747571454,1.03864642351,0.0318747571454,0.0535676765835,0.0109872588647,0.080078180578,0.390721105274,0.268561018738
 01/01  07:00:00,2.23594728106,0.0,0.887401451418,0.0,0.0281012911064,0.915502742524,0.0281012911064,0.123205679416,0.0252706876143,0.14038354292,0.451439814432,0.565069814149
 01/01  08:00:00,2.23057061371,0.0,0.510968054377,0.0,0.0161136718274,0.527081726204,0.0161136718274,0.251768089917,0.0516401067072,0.228567290958,0.479688625644,0.646749774284
 01/01  09:00:00,2.27375514758,0.0,0.614643411873,0.0,0.0193080194251,0.633951431298,0.0193080194251,0.24105456125,0.0494426573893,0.30112795013,0.405549025336,0.627554522175
 01/01  10:00:00,2.29998677246,0.0,0.828286594976,0.0,0.0261851955719,0.854471790548,0.0261851955719,0.123205679416,0.0252706876143,0.375064554145,0.345155015158,0.561744045581
