Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 01/01  01:00:00,0.971996583429,4.48551653748,0.0,4.45754915911,0.0,0.110371896661,0.110371896661,0.110371896661,0.154019476112,0.0331798974413,0.092942924749,0.40603492295,0.158803465516
 01/01  02:00:00,0.780098257126,4.26082432402,0.0,4.23507373544,0.0,0.10613319243,0.10613319243,0.10613319243,0.0898447275923,0.0193549373138,0.0761857795615,0.373851210082,0.0980844101463
 01/01  03:00:00,0.711106364806,4.11323580407,0.0,4.08778377304,0.0,0.103177692231,0.103177692231,0.103177692231,0.0641747963185,0.013824954979,0.0623264934745,0.369516703299,0.0814417245044
 01/01  04:00:00,0.703421256299,4.14635292486,0.0,4.12125916289,0.0,0.104378535015,0.104378535015,0.104378535015,0.0641747963185,0.013824954979,0.0539764305342,0.364315295158,0.0861072442938
 01/01  05:00:00,0.755579256234,4.32762065096,0.0,4.3034748092,0.0,0.109422235713,0.109422235713,0.109422235713,0.0641747963185,0.013824954979,0.0658228643082,0.350553236121,0.135137168795
 01/01  06:00:00,1.02673746636,4.51635342987,0.0,4.4894086111,0.0,0.114191207837,0.114191207837,0.114191207837,0.0641747963185,0.013824954979,0.080078180578,0.391189237216,0.346635089427
 01/01  07:00:00,1.65780266291,4.98972575234,0.0,4.95859366395,0.0,0.126009739595,0.126009739595,0.126009739595,0.147602041092,0.0317973945638,0.14038354292,0.451980694856,0.743385249887
 01/01  08:00:00,2.08861495355,4.96403234194,0.0,4.93095216554,0.0,0.125279246197,0.125279246197,0.125279246197,0.301621517204,0.0649772920051,0.228567290958,0.480263351619,0.856262255571
 01/01  09:00:00,2.01993023889,4.45271434952,0.0,4.42474697114,0.0,0.111818006681,0.111818006681,0.111818006681,0.2887865675,0.062212303412,0.30112795013,0.40603492295,0.833306488219
 01/01  10:00:00,1.7781492276,4.55660510385,0.0,4.53280260328,0.0,0.114044002806,0.114044002806,0.114044002806,0.147602041092,0.0317973945638,0.375064554145,0.345568553319,0.747428681675
