Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,1.08067310737,11.4921690057,0.0,11.0420254604,0.0,0.359879501437,0.359879501437,0.359879501437,0.161612796136,0.0352113105958,0.092942924749,0.413914574456,0.421634055729
 01/01  02:00:00,0.94899341932,11.3823544761,0.0,11.0251818626,0.0,0.359775241545,0.359775241545,0.359775241545,0.0942741659095,0.0205399387695,0.0761857795615,0.381106293534,0.330922883322
 01/01  03:00:00,0.896404270181,11.3104629522,0.0,10.9790150322,0.0,0.358268053911,0.358268053911,0.358268053911,0.0673386720226,0.0146713809326,0.0623264934745,0.376687669841,0.305502534454
 01/01  04:00:00,0.896679695245,11.7420213056,0.0,11.4038164414,0.0,0.372195890346,0.372195890346,0.372195890346,0.0673386720226,0.0146713809326,0.0539764305342,0.371385321409,0.312624692275
 01/01  05:00:00,0.894380866026,11.8076139527,0.0,11.3958590094,0.0,0.372079757579,0.372079757579,0.372079757579,0.0673386720226,0.0146713809326,0.0658228643082,0.357356191184,0.387141065836
 01/01  06:00:00,0.949224531494,12.1103538796,0.0,11.3782490251,0.0,0.371243509654,0.371243509654,0.371243509654,0.0673386720226,0.0146713809326,0.080078180578,0.398780788307,0.704637745494
 01/01  07:00:00,1.20548124852,13.5408879209,0.0,12.2072190445,0.0,0.398610562569,0.398610562569,0.398610562569,0.15487897491,0.0337441825195,0.14038354292,0.460751985603,1.30193333303
 01/01  08:00:00,1.5161838342,13.1660226282,0.0,11.6577798123,0.0,0.380473773884,0.380473773884,0.380473773884,0.316491771045,0.0689554931152,0.228567290958,0.489583505201,1.47452142333
 01/01  09:00:00,1.4590660276,12.4440455223,0.0,10.9735131478,0.0,0.357866239263,0.357866239263,0.357866239263,0.303024045,0.06602121875,0.30112795013,0.413914574456,1.44202288491
 01/01  10:00:00,1.2286715982,10.4200385549,0.0,9.0814041248,0.0,0.295597112685,0.295597112685,0.295597112685,0.15487897491,0.0337441825195,0.375064554145,0.352274773936,1.31437054904
