Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 01/01  01:00:00,0.999294293208,5.47499052982,0.0,5.44702315144,0.0,0.13766960645,0.13766960645,0.13766960645,0.154019476112,0.0331798974413,0.092942924749,0.40603492295,0.158803465506
 01/01  02:00:00,0.829908513325,6.2363118374,0.0,6.21056124883,0.0,0.155943448629,0.155943448629,0.155943448629,0.0898447275923,0.0193549373138,0.0761857795615,0.373851210082,0.0980844101463
 01/01  03:00:00,0.774683799713,6.70764336661,0.0,6.68219133558,0.0,0.166755106116,0.166755106116,0.166755106116,0.0641747963185,0.013824954979,0.0623264934745,0.369516703299,0.081441745526
 01/01  04:00:00,0.77865363985,7.24359334924,0.0,7.21849958727,0.0,0.179610907506,0.179610907506,0.179610907506,0.0641747963185,0.013824954979,0.0539764305342,0.364315295158,0.0861072553544
 01/01  05:00:00,0.829652689428,7.40418864387,0.0,7.38004280211,0.0,0.183495649027,0.183495649027,0.183495649027,0.0641747963185,0.013824954979,0.0658228643082,0.350553236121,0.135137188675
 01/01  06:00:00,1.09794780542,7.51843050459,0.0,7.49148568582,0.0,0.18540154142,0.18540154142,0.18540154142,0.0641747963185,0.013824954979,0.080078180578,0.391189237216,0.346635094908
 01/01  07:00:00,1.71367233215,7.38553290457,0.0,7.35440081618,0.0,0.181879406175,0.181879406175,0.181879406175,0.147602041092,0.0317973945638,0.14038354292,0.451980694856,0.743385252541
 01/01  08:00:00,2.15669186676,7.86209302843,0.0,7.82901285203,0.0,0.193356159404,0.193356159404,0.193356159404,0.301621517204,0.0649772920051,0.228567290958,0.480263351619,0.856262255572
 01/01  09:00:00,2.05252008897,5.9329521994,0.0,5.90498482102,0.0,0.144407856761,0.144407856761,0.144407856761,0.2887865675,0.062212303412,0.30112795013,0.40603492295,0.833306488219
 01/01  10:00:00,1.77909238864,4.70996128061,0.0,4.68615878004,0.0,0.114987164129,0.114987164129,0.114987164129,0.147602041092,0.0317973945638,0.375064554145,0.345568553319,0.747428681388
 01/01  11:00:00,1.66596698754,4.38224256605,0.0,4.35788027007,0.0,0.108676377547,0.108676377547,0.108676377547,0.121932141685,0.0262674173776,0.395792849183,0.353695753539,0.642958448204
 01/01  12:00:00,1.54276357502,2.5249465474,0.0,2.50057678749,0.0,0.0622412517772,0.0622412517772,0.0622412517772,0.121932141685,0.0262674173776,0.413608485392,0.353804116208,0.548266162577
 01/01  13:00:00,1.42773545858,1.60394925901,0.0,1.57999001573,0.0,0.0396410830437,0.0396410830437,0.0396410830437,0.121932141685,0.0262674173776,0.399656479991,0.347844169381,0.475750167099
 01/01  14:00:00,1.34128389806,0.981782046781,0.0,0.9569943063,0.0,0.0242041008304,0.0242041008304,0.0242041008304,0.121932141685,0.0262674173776,0.361435815596,0.359872425705,0.430927996871
 01/01  15:00:00,1.28982800436,0.684958734954,0.0,0.658775237933,0.0,0.0167641025203,0.0167641025203,0.0167641025203,0.128349576704,0.0276499030931,0.331767743197,0.380136244918,0.388516433927
 01/01  16:00:00,1.36753895364,0.859443110477,0.0,0.831804145406,0.0,0.0213779695099,0.0213779695099,0.0213779695099,0.160436990796,0.0345623831569,0.339922588697,0.401266965488,0.393328055992
 01/01  17:00:00,1.69369925124,1.47090961987,0.0,1.43821756829,0.0,0.0372742922305,0.0372742922305,0.0372742922305,0.269534103112,0.0580648119413,0.389638662656,0.4746284928,0.447914888497
 01/01  18:00:00,2.30721247645,2.68078131449,0.0,2.64106569657,0.0,0.0684704488154,0.0684704488154,0.0684704488154,0.500563357112,0.107834640941,0.480421867651,0.576597764883,0.556680397052
 01/01  19:00:00,2.72937026054,2.20782617827,0.0,2.1647070043,0.0,0.0551962525048,0.0551962525048,0.0551962525048,0.744427560815,0.160369475696,0.432594020017,0.626011142216,0.664127809287
 01/01  20:00:00,2.71790750584,2.376041907,0.0,2.33153444042,0.0,0.0591997184246,0.0591997184246,0.0591997184246,0.789349924612,0.170046944353,0.349590650728,0.646166598759,0.686909668965
 01/01  21:00:00,2.52320067383,2.88668613224,0.0,2.84064855823,0.0,0.0721493550506,0.0721493550506,0.0721493550506,0.680252812296,0.146544515569,0.310730298291,0.668380946025,0.628498746598
 01/01  22:00:00,2.28816628279,3.2107377956,0.0,3.16577502877,0.0,0.0801442053548,0.0801442053548,0.0801442053548,0.571155699981,0.123042103946,0.293949140492,0.652776721604,0.550454411414
 01/01  23:00:00,1.86465817832,3.79747755991,0.0,3.75856804738,0.0,0.09497661206,0.09497661206,0.09497661206,0.429971093908,0.0926271950982,0.234174068073,0.564894596568,0.431370612609
 01/01  24:00:00,1.42467453532,4.31469520333,0.0,4.28088356094,0.0,0.108017418655,0.108017418655,0.108017418655,0.295204002519,0.0635947891276,0.151455627092,0.490882893238,0.298875804683
 01/02  01:00:00,0.972488171759,5.10667132033,0.0,5.07870394196,0.0,0.128001352006,0.128001352006,0.128001352006,0.154019476112,0.0331798974413,0.0863692416722,0.40603492295,0.148239281578
 01/02  02:00:00,0.806489743931,5.67492406233,0.0,5.64917347376,0.0,0.142031395404,0.142031395404,0.142031395404,0.0898447275923,0.0193549373138,0.0722387554862,0.373851210082,0.092524718052
 01/02  03:00:00,0.747853160197,5.86450286337,0.0,5.83905083234,0.0,0.146614621237,0.146614621237,0.146614621237,0.0641747963185,0.013824954979,0.0597152550472,0.369516703299,0.0773628293174
 01/02  04:00:00,0.743875406823,6.05020739683,0.0,6.02511363486,0.0,0.150576836049,0.150576836049,0.150576836049,0.0641747963185,0.013824954979,0.0526110263622,0.364315295158,0.0817284979557
 01/02  05:00:00,0.791872673044,6.32326358662,0.0,6.29911774487,0.0,0.157341258975,0.157341258975,0.157341258975,0.0641747963185,0.013824954979,0.0631517086927,0.350553236121,0.126182717959
 01/02  06:00:00,1.04126358791,6.37385280296,0.0,6.34690798419,0.0,0.158574611287,0.158574611287,0.158574611287,0.0641747963185,0.013824954979,0.0759814879778,0.391189237216,0.320874500133
 01/02  07:00:00,1.61699889622,6.24709150504,0.0,6.21595941665,0.0,0.154909588842,0.154909588842,0.154909588842,0.147602041092,0.0317973945638,0.129758030703,0.451980694856,0.684307146168
 01/02  08:00:00,2.01388694747,5.81961431365,0.0,5.78653413725,0.0,0.143637651551,0.143637651551,0.143637651551,0.301621517204,0.0649772920051,0.207405929039,0.480263351619,0.78433720605
 01/02  09:00:00,1.91405796073,4.63629431457,0.0,4.6083269362,0.0,0.113651803016,0.113651803016,0.113651803016,0.2887865675,0.062212303412,0.268690649238,0.40603492295,0.758037714612
 01/02  10:00:00,1.63578385291,3.50827555192,0.0,3.48447305135,0.0,0.0861022173015,0.0861022173015,0.0861022173015,0.147602041092,0.0317973945638,0.330033495679,0.345568553319,0.678036150952
 01/02  11:00:00,1.53257862484,3.43555715734,0.0,3.41119486137,0.0,0.0858173089802,0.0858173089802,0.0858173089802,0.121932141685,0.0262674173776,0.344876619894,0.353695753539,0.583345383369
 01/02  12:00:00,1.42554956646,1.89175490185,0.0,1.86738514194,0.0,0.0469943049072,0.0469943049072,0.0469943049072,0.121932141685,0.0262674173776,0.361119725873,0.353804116208,0.498787860412
 01/02  13:00:00,1.31921766273,0.889558783127,0.0,0.865599539844,0.0,0.0218466043087,0.0218466043087,0.0218466043087,0.121932141685,0.0262674173776,0.3518459739,0.347844169381,0.432837356081
 01/02  14:00:00,1.24921608645,0.533172483513,0.0,0.508384743033,0.0,0.0129345906237,0.0129345906237,0.0129345906237,0.121932141685,0.0262674173776,0.317847783081,0.359872425705,0.393717727979
 01/02  15:00:00,1.21216479016,0.493700601934,0.0,0.467517104913,0.0,0.0119155944068,0.0119155944068,0.0119155944068,0.128349576704,0.0276499030931,0.292642171022,0.380136244918,0.35482730002
 01/02  16:00:00,1.28809493623,0.510885560223,0.0,0.483246595152,0.0,0.0124910204214,0.0124910204214,0.0124910204214,0.160436990796,0.0345623831569,0.302863615842,0.401266965488,0.35982996052
 01/02  17:00:00,1.59693978089,0.70882738096,0.0,0.676135329377,0.0,0.0175585861901,0.0175585861901,0.0175585861901,0.269534103112,0.0580648119413,0.353720743409,0.4746284928,0.406789043438
 01/02  18:00:00,2.1957109588,1.64098388799,0.0,1.60126827007,0.0,0.0417473131268,0.0417473131268,0.0417473131268,0.500563357112,0.107834640941,0.445069937436,0.576597764883,0.507253945301
 01/02  19:00:00,2.59757377067,0.892140530976,0.0,0.849021357005,0.0,0.0218584155118,0.0218584155118,0.0218584155118,0.744427560815,0.160369475696,0.398283704478,0.626011142216,0.59997947195
 01/02  20:00:00,2.57700245446,0.993861018252,0.0,0.94935355168,0.0,0.0243881638796,0.0243881638796,0.0243881638796,0.789349924612,0.170046944353,0.315345896534,0.646166598759,0.615060926318
 01/02  21:00:00,2.38221353533,1.38498514919,0.0,1.33894757518,0.0,0.0344695833829,0.0344695833829,0.0344695833829,0.680252812296,0.146544515569,0.275874927963,0.668380946025,0.560046750089
 01/02  22:00:00,2.15686965562,1.67291232809,0.0,1.62794956125,0.0,0.0418487903734,0.0418487903734,0.0418487903734,0.571155699981,0.123042103946,0.258342283024,0.652776721604,0.493060056693
 01/02  23:00:00,1.74676266383,2.00730988939,0.0,1.96840037686,0.0,0.0505025943006,0.0505025943006,0.0505025943006,0.429971093908,0.0926271950982,0.205880856148,0.564894596568,0.386242327804
