Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 01/01  01:00:00,1.03435025919,0.0,0.230896905471,0.0,0.0070963674885,0.237993272959,0.0070963674885,0.128562410501,0.0263694190929,0.092942924749,0.405549025336,0.127858206553
 01/01  02:00:00,1.19123709945,0.0,0.536982918267,0.0,0.0167019485428,0.553684866809,0.0167019485428,0.0749947671662,0.0153821588643,0.0761857795615,0.37340382637,0.0825107006758
 01/01  03:00:00,1.42838387515,0.0,0.821211358316,0.0,0.0256978637808,0.846909222097,0.0256978637808,0.0535676765835,0.0109872588647,0.0623264934745,0.369074506644,0.0704437174894
 01/01  04:00:00,1.66398315473,0.0,1.05948083386,0.0,0.0331481399808,1.09262897384,0.0331481399808,0.0535676765835,0.0109872588647,0.0539764305342,0.363879322973,0.0738684919349
 01/01  05:00:00,1.93260691382,0.0,1.28669754242,0.0,0.040174239468,1.32687178188,0.040174239468,0.0535676765835,0.0109872588647,0.0658228643082,0.350133732842,0.110148599339
 01/01  06:00:00,2.27162275322,0.0,1.40880137745,0.0,0.0438311109603,1.45263248841,0.0438311109603,0.0535676765835,0.0109872588647,0.080078180578,0.390721105274,0.268561043505
 01/01  07:00:00,2.74197009877,0.0,1.37872710638,0.0,0.0427984524148,1.4215255588,0.0427984524148,0.123205679416,0.0252706876143,0.14038354292,0.451439814432,0.565069815589
 01/01  08:00:00,3.03057947665,0.0,1.28741337695,0.0,0.0396772121664,1.32709058912,0.0396772121664,0.251768089917,0.0516401067072,0.228567290958,0.479688625644,0.646749774301
 01/01  09:00:00,2.3970874405,0.0,0.73488557907,0.0,0.0223981451517,0.757283724221,0.0223981451517,0.24105456125,0.0494426573893,0.30112795013,0.405549025336,0.627554522175
 01/01  10:00:00,1.69400244063,0.0,0.241153020287,0.0,0.00733443810173,0.248487458389,0.00733443810173,0.123205679416,0.0252706876143,0.375064554145,0.345155015158,0.561744045904
 01/01  11:00:00,1.61575949908,0.0,0.238460084302,0.0,0.00725253503343,0.245712619335,0.00725253503343,0.101778555585,0.0208757889786,0.395792849183,0.353272489644,0.48325219635
 01/01  12:00:00,1.31744570408,0.0,0.0,0.0,0.0,0.0,0.0,0.101778555585,0.0208757889786,0.413608485392,0.353380722637,0.412727151485
 01/01  13:00:00,1.24323247878,0.0,0.0,0.0,0.0,0.0,0.0,0.101778555585,0.0208757889786,0.399656479991,0.347427908014,0.358418746215
 01/01  14:00:00,1.18411892188,0.0,0.0,0.0,0.0,0.0,0.0,0.101778555585,0.0208757889786,0.361435815596,0.359441770253,0.325511991472
 01/01  15:00:00,1.14969637437,0.0,0.0,0.0,0.0,0.0,0.0,0.107135353167,0.0219745204572,0.331767743197,0.379681339973,0.294062417575
 01/01  16:00:00,1.21497324188,0.0,0.0,0.0,0.0,0.0,0.0,0.133919208083,0.0274681505715,0.339922588697,0.400786773637,0.297801520891
 01/01  17:00:00,1.48823438102,0.0,0.0,0.0,0.0,0.0,0.0,0.224984235001,0.0461464902322,0.389638662656,0.47406051,0.338329483129
 01/01  18:00:00,1.99612784535,0.0,0.0,0.0,0.0,0.0,0.0,0.417827884001,0.0857006188716,0.480421867651,0.575907756555,0.421194718271
 01/01  19:00:00,2.35497083462,0.0,0.0,0.0,0.0,0.0,0.0,0.621385061668,0.127452196829,0.432594020017,0.625262001432,0.503202554678
 01/01  20:00:00,2.325131862,0.0,0.0,0.0,0.0,0.0,0.0,0.658882445251,0.135143276261,0.349590650728,0.645393338158,0.521047151608
 01/01  21:00:00,2.15435339222,0.0,0.0,0.0,0.0,0.0,0.0,0.567817418333,0.1164649366,0.310730298291,0.667581101753,0.476684637242
