Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 01/01  01:00:00,3.85908322662,0.0,2.97037351516,0.0,0.092039230588,3.06241274575,0.092039230588,0.128562410501,0.0263694190929,0.092942924749,0.405549025336,0.128171701199
 01/01  02:00:00,3.96803488537,0.0,3.23053327775,0.0,0.0999491797981,3.33048245755,0.0999491797981,0.0749947671662,0.0153821588643,0.0761857795615,0.37340382637,0.0825108958597
 01/01  03:00:00,4.00453603428,0.0,3.32022429212,0.0,0.102837037587,3.42306132971,0.102837037587,0.0535676765835,0.0109872588647,0.0623264934745,0.369074506644,0.0704437690112
 01/01  04:00:00,4.07765433201,0.0,3.40093604159,0.0,0.105364109113,3.5063001507,0.105364109113,0.0535676765835,0.0109872588647,0.0539764305342,0.363879322973,0.0738684923588
 01/01  05:00:00,4.13974484436,0.0,3.42772818882,0.0,0.106281514378,3.5340097032,0.106281514378,0.0535676765835,0.0109872588647,0.0658228643082,0.350133732842,0.110148608565
 01/01  06:00:00,4.3660484166,0.0,3.44037076107,0.0,0.106687401437,3.5470581625,0.106687401437,0.0535676765835,0.0109872588647,0.080078180578,0.390721105274,0.268561032797
 01/01  07:00:00,4.71920366765,0.0,3.29649032887,0.0,0.102268799541,3.39875912841,0.102268799541,0.123205679416,0.0252706876143,0.14038354292,0.451439814432,0.565069814858
 01/01  08:00:00,4.94864900471,0.0,3.14770163632,0.0,0.097458480864,3.24516011719,0.097458480864,0.251768089917,0.0516401067072,0.228567290958,0.479688625644,0.646749774296
 01/01  09:00:00,4.84474810034,0.0,3.10859321148,0.0,0.0963511725873,3.20494438406,0.0963511725873,0.24105456125,0.0494426573893,0.30112795013,0.405549025336,0.627554522175
 01/01  10:00:00,4.60226376028,0.0,3.06165692142,0.0,0.0950918569491,3.15674877837,0.0950918569491,0.123205679416,0.0252706876143,0.375064554145,0.345155015158,0.561744045581
 01/01  11:00:00,5.23531232842,0.0,3.7477876674,0.0,0.117455985051,3.86524365245,0.117455985051,0.101778555585,0.0208757889786,0.395792849183,0.353272489644,0.483273992583
 01/01  12:00:00,3.88216963007,0.0,2.48742994198,0.0,0.0769092522265,2.5643391942,0.0769092522265,0.101778555585,0.0208757889786,0.413608485392,0.353380722637,0.413111883277
 01/01  13:00:00,2.98461431126,0.0,1.68815489232,0.0,0.052235684276,1.74039057659,0.052235684276,0.101778555585,0.0208757889786,0.399656479991,0.347427908014,0.359410002102
 01/01  14:00:00,2.51951462217,0.0,1.29348082051,0.0,0.0404323968056,1.33391321731,0.0404323968056,0.101778555585,0.0208757889786,0.361435815596,0.359441770253,0.326994474439
 01/01  15:00:00,2.39836686834,0.0,1.20906795374,0.0,0.0378708470077,1.24693880074,0.0378708470077,0.107135353167,0.0219745204572,0.331767743197,0.379681339973,0.295794110807
 01/01  16:00:00,2.47747135923,0.0,1.22172926221,0.0,0.0387546965253,1.26048395873,0.0387546965253,0.133919208083,0.0274681505715,0.339922588697,0.400786773637,0.299815679514
 01/01  17:00:00,3.03573771225,0.0,1.49748099832,0.0,0.0477706319744,1.54525163029,0.0477706319744,0.224984235001,0.0461464902322,0.389638662656,0.47406051,0.340581184069
 01/01  18:00:00,4.8646533509,0.0,2.77788668845,0.0,0.0889251890037,2.86681187745,0.0889251890037,0.417827884001,0.0857006188716,0.480421867651,0.575907756555,0.422908346374
 01/01  19:00:00,4.32545685525,0.0,1.908945983,0.0,0.0596251665746,1.96857114957,0.0596251665746,0.621385061668,0.127452196829,0.432594020017,0.625262001432,0.505117425732
 01/01  20:00:00,4.18028105722,0.0,1.79705740853,0.0,0.0558978941296,1.85295530266,0.0558978941296,0.658882445251,0.135143276261,0.349590650728,0.645393338158,0.523241044168
