Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 01/01  01:00:00,4.75447479047,0.0,3.83799940397,0.0,0.119804918707,3.95780432267,0.119804918707,0.128562410501,0.0263694190929,0.092942924749,0.405549025336,0.128171688119
 01/01  02:00:00,5.06992541683,0.0,4.29828682438,0.0,0.134086180868,4.43237300525,0.134086180868,0.0749947671662,0.0153821588643,0.0761857795615,0.37340382637,0.0825108796173
 01/01  03:00:00,5.31613568327,0.0,4.59192793795,0.0,0.142733032411,4.73466097036,0.142733032411,0.0535676765835,0.0109872588647,0.0623264934745,0.369074506644,0.0704437773368
 01/01  04:00:00,5.48758219925,0.0,4.76842341108,0.0,0.147804599169,4.91622801025,0.147804599169,0.0535676765835,0.0109872588647,0.0539764305342,0.363879322973,0.0738685000432
 01/01  05:00:00,5.66625736494,0.0,4.90878891795,0.0,0.151733314801,5.06052223275,0.151733314801,0.0535676765835,0.0109872588647,0.0658228643082,0.350133732842,0.110148599589
 01/01  06:00:00,6.01747901902,0.0,5.04285654402,0.0,0.155632202066,5.19848874609,0.155632202066,0.0535676765835,0.0109872588647,0.080078180578,0.390721105274,0.268561051631
 01/01  07:00:00,7.96412083695,0.0,6.44395363559,0.0,0.199722111259,6.64367574685,0.199722111259,0.123205679416,0.0252706876143,0.14038354292,0.451439814432,0.565070365716
 01/01  08:00:00,7.05787541786,0.0,5.19448102611,0.0,0.159856134913,5.35433716102,0.159856134913,0.251768089917,0.0516401067072,0.228567290958,0.479688625644,0.646799143613
 01/01  09:00:00,6.48909558763,0.0,4.70576894541,0.0,0.143522880297,4.84929182571,0.143522880297,0.24105456125,0.0494426573893,0.30112795013,0.405549025336,0.62755456782
 01/01  10:00:00,6.19508212991,0.0,4.60796456825,0.0,0.14160257911,4.74956714736,0.14160257911,0.123205679416,0.0252706876143,0.375064554145,0.345155015158,0.56174404622
 01/01  11:00:00,7.03902834667,0.0,5.4978420962,0.0,0.171117574497,5.66895967069,0.171117574497,0.101778555585,0.0208757889786,0.395792849183,0.353272489644,0.48327399259
 01/01  12:00:00,5.6755921347,0.0,4.22762794238,0.0,0.130133753612,4.35776169599,0.130133753612,0.101778555585,0.0208757889786,0.413608485392,0.353380722637,0.413111886114
 01/01  13:00:00,4.90219856309,0.0,3.54828064548,0.0,0.109694182161,3.65797482764,0.109694182161,0.101778555585,0.0208757889786,0.399656479991,0.347427908014,0.359410002886
 01/01  14:00:00,4.48979000378,0.0,3.204223755,0.0,0.0999648462632,3.30418860126,0.0999648462632,0.101778555585,0.0208757889786,0.361435815596,0.359441770253,0.326994472104
 01/01  15:00:00,4.48688806785,0.0,3.2343923348,0.0,0.101067665455,3.33546000025,0.101067665455,0.107135353167,0.0219745204572,0.331767743197,0.379681339973,0.295794110807
 01/01  16:00:00,4.63288590001,0.0,3.31141828433,0.0,0.104480215178,3.4158984995,0.104480215178,0.133919208083,0.0274681505715,0.339922588697,0.400786773637,0.299815679514
 01/01  17:00:00,4.97894870373,0.0,3.38189142762,0.0,0.106571194151,3.48846262177,0.106571194151,0.224984235001,0.0461464902322,0.389638662656,0.47406051,0.340581184069
 01/01  18:00:00,6.60233384589,0.0,4.46338660071,0.0,0.141105767352,4.60449236806,0.141105767352,0.417827884001,0.0857006188716,0.480421867651,0.575907756555,0.422908350748
 01/01  19:00:00,5.73960550942,0.0,3.28089501712,0.0,0.101824787121,3.38271980424,0.101824787121,0.621385061668,0.127452196829,0.432594020017,0.625262001432,0.50511742524
 01/01  20:00:00,5.44933695256,0.0,3.02823941099,0.0,0.0937717967233,3.12201120772,0.0937717967233,0.658882445251,0.135143276261,0.349590650728,0.645393338158,0.52324103445
 01/01  21:00:00,5.26338501313,0.0,3.01362193836,0.0,0.0935469663119,3.10716890467,0.0935469663119,0.567817418333,0.1164649366,0.310730298291,0.667581101753,0.478547353486
