Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 01/01  01:00:00,1.53327562309,0.0,0.714740684455,0.0,0.0218644695695,0.736605154025,0.0218644695695,0.128562410501,0.0263694190929,0.092942924749,0.405549025336,0.128171689389
 01/01  02:00:00,1.42179919676,0.0,0.760899195242,0.0,0.0233475926809,0.784246787923,0.0233475926809,0.0749947671662,0.0153821588643,0.0761857795615,0.37340382637,0.0825108768758
 01/01  03:00:00,1.47828309554,0.0,0.869796073979,0.0,0.0270123237508,0.89680839773,0.0270123237508,0.0535676765835,0.0109872588647,0.0623264934745,0.369074506644,0.0704437622422
 01/01  04:00:00,1.54065638804,0.0,0.939886443363,0.0,0.0294157635458,0.969302206908,0.0294157635458,0.0535676765835,0.0109872588647,0.0539764305342,0.363879322973,0.0738684921751
 01/01  05:00:00,1.59890145132,0.0,0.96291047793,0.0,0.0302558556045,0.993166333535,0.0302558556045,0.0535676765835,0.0109872588647,0.0658228643082,0.350133732842,0.110148585185
 01/01  06:00:00,1.75476155891,0.0,0.90723533776,0.0,0.0285359755027,0.935771313263,0.0285359755027,0.0535676765835,0.0109872588647,0.080078180578,0.390721105274,0.268561024349
 01/01  07:00:00,2.50087930995,0.0,1.14433952692,0.0,0.0360952706852,1.18043479761,0.0360952706852,0.123205679416,0.0252706876143,0.14038354292,0.451439814432,0.56506978796
 01/01  08:00:00,2.26984841196,0.0,0.549163892356,0.0,0.0171956390292,0.566359531385,0.0171956390292,0.251768089917,0.0516401067072,0.228567290958,0.479688625644,0.64674976735
 01/01  09:00:00,1.94223756611,0.0,0.293296466682,0.0,0.00913738315718,0.30243384984,0.00913738315718,0.24105456125,0.0494426573893,0.30112795013,0.405549025336,0.627554522164
 01/01  10:00:00,1.52321748966,0.0,0.075362215547,0.0,0.00234029269959,0.0777025082466,0.00234029269959,0.123205679416,0.0252706876143,0.375064554145,0.345155015158,0.561744045078
 01/01  11:00:00,1.5180880366,0.0,0.143541605354,0.0,0.00447881214286,0.148020417497,0.00447881214286,0.101778555585,0.0208757889786,0.395792849183,0.353272489644,0.483272935714
 01/01  12:00:00,1.31748239836,0.0,0.0,0.0,0.0,0.0,0.0,0.101778555585,0.0208757889786,0.413608485392,0.353380722637,0.412763845767
 01/01  13:00:00,1.24318128227,0.0,0.0,0.0,0.0,0.0,0.0,0.101778555585,0.0208757889786,0.399656479991,0.347427908014,0.358367549707
 01/01  14:00:00,1.18411304917,0.0,0.0,0.0,0.0,0.0,0.0,0.101778555585,0.0208757889786,0.361435815596,0.359441770253,0.325506118756
 01/01  15:00:00,1.14985741834,0.0,0.0,0.0,0.0,0.0,0.0,0.107135353167,0.0219745204572,0.331767743197,0.379681339973,0.294223461546
 01/01  16:00:00,1.21527497081,0.0,0.0,0.0,0.0,0.0,0.0,0.133919208083,0.0274681505715,0.339922588697,0.400786773637,0.298103249819
 01/01  17:00:00,1.48914164091,0.0,0.0,0.0,0.0,0.0,0.0,0.224984235001,0.0461464902322,0.389638662656,0.47406051,0.339236743025
 01/01  18:00:00,2.07802464724,0.0,0.0781497792086,0.0,0.00244661762536,0.0805963968339,0.00244661762536,0.417827884001,0.0857006188716,0.480421867651,0.575907756555,0.422495123324
 01/01  19:00:00,2.35648388242,0.0,0.0,0.0,0.0,0.0,0.0,0.621385061668,0.127452196829,0.432594020017,0.625262001432,0.504715602479
 01/01  20:00:00,2.32698399898,0.0,0.0,0.0,0.0,0.0,0.0,0.658882445251,0.135143276261,0.349590650728,0.645393338158,0.522899288587
 01/01  21:00:00,2.28906691186,0.0,0.128814208982,0.0,0.00405071041155,0.132864919394,0.00405071041155,0.567817418333,0.1164649366,0.310730298291,0.667581101753,0.47853323749
 01/01  22:00:00,2.50814157158,0.0,0.536353386322,0.0,0.0170036220444,0.553357008366,0.0170036220444,0.476752324918,0.0977865969395,0.293949140492,0.65199555074,0.419225950121
 01/01  23:00:00,2.63770197397,0.0,1.02819331829,0.0,0.032614435009,1.0608077533,0.032614435009,0.358903443084,0.0736146271644,0.234174068073,0.564218593295,0.330908489058
 01/01  24:00:00,2.86566408222,0.0,1.62762418855,0.0,0.0513555559257,1.67897974447,0.0513555559257,0.246411292335,0.050541388868,0.151455627092,0.490295458973,0.23290557048
 01/02  01:00:00,3.11941074219,0.0,2.26611195124,0.0,0.0709908106111,2.33710276185,0.0709908106111,0.128562410501,0.0263694190929,0.0863692416722,0.405549025336,0.120382883744
 01/02  02:00:00,3.53329252042,0.0,2.81614851954,0.0,0.0875827706336,2.90373129017,0.0875827706336,0.0749947671662,0.0153821588643,0.0722387554862,0.37340382637,0.078466722363
 01/02  03:00:00,3.94759982986,0.0,3.27062048441,0.0,0.101125298938,3.37174578335,0.101125298938,0.0535676765835,0.0109872588647,0.0597152550472,0.369074506644,0.0674343493684
 01/02  04:00:00,4.37698939736,0.0,3.69642737821,0.0,0.113805995581,3.81023337379,0.113805995581,0.0535676765835,0.0109872588647,0.0526110263622,0.363879322973,0.0706357387896
 01/02  05:00:00,4.7282952104,0.0,4.008878625,0.0,0.122957809591,4.13183643459,0.122957809591,0.0535676765835,0.0109872588647,0.0631517086927,0.350133732842,0.103543398826
 01/02  06:00:00,5.22860367735,0.0,4.30142333662,0.0,0.131552744913,4.43297608153,0.131552744913,0.0535676765835,0.0109872588647,0.0759814879778,0.390721105274,0.24929506712
 01/02  07:00:00,7.36403385663,0.0,5.91668349785,0.0,0.181783244143,6.09846674199,0.181783244143,0.123205679416,0.0252706876143,0.129758030703,0.451439814432,0.52081790247
 01/02  08:00:00,6.01790062543,0.0,4.25907342884,0.0,0.129863290061,4.3889367189,0.129863290061,0.251768089917,0.0516401067072,0.207405929039,0.479688625644,0.593386155222
 01/02  09:00:00,4.96122337146,0.0,3.30858782359,0.0,0.100627529224,3.40921535281,0.100627529224,0.24105456125,0.0494426573893,0.268690649238,0.405549025336,0.57219612544
 01/02  10:00:00,4.11523103623,0.0,2.68373467134,0.0,0.0816232191701,2.76535789051,0.0816232191701,0.123205679416,0.0252706876143,0.330033495679,0.345155015158,0.511133267858
 01/02  11:00:00,4.60858246107,0.0,3.23260832935,0.0,0.100057454918,3.33266578427,0.100057454918,0.101778555585,0.0208757889786,0.344876619894,0.353272489644,0.440038222694
 01/02  12:00:00,3.02131882735,0.0,1.73865206614,0.0,0.0531020412373,1.79175410737,0.0531020412373,0.101778555585,0.0208757889786,0.361119725873,0.353380722637,0.377334926905
 01/02  13:00:00,2.48937713176,0.0,1.28428554184,0.0,0.0396459647402,1.32393150658,0.0396459647402,0.101778555585,0.0208757889786,0.3518459739,0.347427908014,0.328442398696
 01/02  14:00:00,2.04091076485,0.0,0.897793052487,0.0,0.0279603065329,0.92575335902,0.0279603065329,0.101778555585,0.0208757889786,0.317847783081,0.359441770253,0.300138507936
 01/02  15:00:00,1.93150173061,0.0,0.818022027462,0.0,0.0255196087754,0.843541636237,0.0255196087754,0.107135353167,0.0219745204572,0.292642171022,0.379681339973,0.271451709756
 01/02  16:00:00,2.1055818587,0.0,0.920813546338,0.0,0.029125518702,0.94993906504,0.029125518702,0.133919208083,0.0274681505715,0.302863615842,0.400786773637,0.275530045525
 01/02  17:00:00,2.77013400586,0.0,1.30404351706,0.0,0.0415193180373,1.3455628351,0.0415193180373,0.224984235001,0.0461464902322,0.353720743409,0.47406051,0.310584192119
 01/02  18:00:00,4.43780285015,0.0,2.43398478314,0.0,0.0776927980818,2.51167758122,0.0776927980818,0.417827884001,0.0857006188716,0.445069937436,0.575907756555,0.386544072071
 01/02  19:00:00,3.93164967553,0.0,1.60661815564,0.0,0.0500255901074,1.65664374575,0.0500255901074,0.621385061668,0.127452196829,0.398283704478,0.625262001432,0.457547965378
 01/02  20:00:00,3.88530141174,0.0,1.59604384603,0.0,0.0495971832648,1.6456410293,0.0495971832648,0.658882445251,0.135143276261,0.315345896534,0.645393338158,0.46982042624
 01/02  21:00:00,3.96321480306,0.0,1.83543107098,0.0,0.0572033987063,1.89263446968,0.0572033987063,0.567817418333,0.1164649366,0.275874927963,0.667581101753,0.42776694873
 01/02  22:00:00,4.11250342536,0.0,2.1681868123,0.0,0.0675608641832,2.23574767648,0.0675608641832,0.476752324918,0.0977865969395,0.258342283024,0.65199555074,0.376803993257
 01/02  23:00:00,4.01117430083,0.0,2.4207594653,0.0,0.0752578836585,2.49601734896,0.0752578836585,0.358903443084,0.0736146271644,0.205880856148,0.564218593295,0.297464432181
 01/02  24:00:00,4.10187821375,0.0,2.86278677121,0.0,0.0888536976144,2.95164046882,0.0888536976144,0.246411292335,0.050541388868,0.135920781757,0.490295458973,0.211993822999
 01/03  01:00:00,4.12534743998,0.0,3.24241773766,0.0,0.100525538154,3.34294327582,0.100525538154,0.128562410501,0.0263694190929,0.0863692416722,0.405549025336,0.120479067566
 01/03  02:00:00,4.35242786494,0.0,3.61114956146,0.0,0.111669142585,3.72281870405,0.111669142585,0.0749947671662,0.0153821588643,0.0722387554862,0.37340382637,0.0785146530025
 01/03  03:00:00,4.65631432878,0.0,3.95825992754,0.0,0.122166507218,4.08042643476,0.122166507218,0.0535676765835,0.0109872588647,0.0597152550472,0.369074506644,0.0674681968796
 01/03  04:00:00,4.96616193261,0.0,4.2679331381,0.0,0.131435052813,4.39936819091,0.131435052813,0.0535676765835,0.0109872588647,0.0526110263622,0.363879322973,0.0706734569182
 01/03  05:00:00,5.17247390675,0.0,4.43955515894,0.0,0.136383125643,4.57593828458,0.136383125643,0.0535676765835,0.0109872588647,0.0631517086927,0.350133732842,0.103620245181
 01/03  06:00:00,5.57043431408,0.0,4.63258065406,0.0,0.141983506294,4.77456416035,0.141983506294,0.0535676765835,0.0109872588647,0.0759814879778,0.390721105274,0.249537625025
 01/03  07:00:00,7.5908018789,0.0,6.13568992289,0.0,0.188990722727,6.32468064562,0.188990722727,0.123205679416,0.0252706876143,0.129758030703,0.451439814432,0.521372021118
 01/03  08:00:00,6.08350379985,0.0,4.32205449752,0.0,0.131838132572,4.4538926301,0.131838132572,0.251768089917,0.0516401067072,0.207405929039,0.479688625644,0.59403341845
 01/03  09:00:00,4.81606548533,0.0,3.16710312873,0.0,0.0963244077634,3.26342753649,0.0963244077634,0.24105456125,0.0494426573893,0.268690649238,0.405549025336,0.572826055618
 01/03  10:00:00,4.42400684717,0.0,2.98218371188,0.0,0.091384256247,3.07356796812,0.091384256247,0.123205679416,0.0252706876143,0.330033495679,0.345155015158,0.511699001181
 01/03  11:00:00,5.32205722585,0.0,3.9230383961,0.0,0.122616397975,4.04565479408,0.122616397975,0.101778555585,0.0208757889786,0.344876619894,0.353272489644,0.440523977668
 01/03  12:00:00,4.02775615986,0.0,2.71377006097,0.0,0.0840096878002,2.79777974877,0.0840096878002,0.101778555585,0.0208757889786,0.361119725873,0.353380722637,0.377746618017
 01/03  13:00:00,3.63061360997,0.0,2.3903326362,0.0,0.0744814899566,2.46481412615,0.0744814899566,0.101778555585,0.0208757889786,0.3518459739,0.347427908014,0.328796257339
 01/03  14:00:00,3.53005428932,0.0,2.3413892978,0.0,0.0731903854359,2.41457968323,0.0731903854359,0.101778555585,0.0208757889786,0.317847783081,0.359441770253,0.300455708193
 01/03  15:00:00,3.36399512154,0.0,2.20629674771,0.0,0.0694556622904,2.27575241,0.0694556622904,0.107135353167,0.0219745204572,0.292642171022,0.379681339973,0.271734326925
 01/03  16:00:00,3.35395485299,0.0,2.13090867595,0.0,0.0671176330453,2.19802630899,0.0671176330453,0.133919208083,0.0274681505715,0.302863615842,0.400786773637,0.275815795866
 01/03  17:00:00,3.74019653706,0.0,2.2445372143,0.0,0.0707620476518,2.31529926195,0.0707620476518,0.224984235001,0.0461464902322,0.353720743409,0.47406051,0.31091029647
 01/03  18:00:00,5.50971828294,0.0,3.47304080949,0.0,0.110143036982,3.58318384647,0.110143036982,0.417827884001,0.0857006188716,0.445069937436,0.575907756555,0.386953239608
 01/03  19:00:00,4.89337894009,0.0,2.5391616746,0.0,0.0787285349422,2.61789020955,0.0787285349422,0.621385061668,0.127452196829,0.398283704478,0.625262001432,0.458030766134
 01/03  20:00:00,4.68183984981,0.0,2.36845388939,0.0,0.0732332697406,2.44168715914,0.0732332697406,0.658882445251,0.135143276261,0.315345896534,0.645393338158,0.470312734473
 01/03  21:00:00,4.8033414861,0.0,2.64997387413,0.0,0.0823389057581,2.73231277989,0.0823389057581,0.567817418333,0.1164649366,0.275874927963,0.667581101753,0.42821532156
 01/03  22:00:00,4.63068948682,0.0,2.67048318305,0.0,0.0830564861705,2.75353966922,0.0830564861705,0.476752324918,0.0977865969395,0.258342283024,0.65199555074,0.377198061981
