Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 01/01  01:00:00,0.965688619785,4.17850656382,0.0,4.15053918544,0.0,0.104063929113,0.104063929113,0.104063929113,0.154019476112,0.0331798974413,0.092942924749,0.40603492295,0.15880346942
 01/01  02:00:00,0.784247321191,4.43073460865,0.0,4.40498402008,0.0,0.110282285009,0.110282285009,0.110282285009,0.0898447275923,0.0193549373138,0.0761857795615,0.373851210082,0.0980843816331
 01/01  03:00:00,0.723579768639,4.6434718572,0.0,4.61801982618,0.0,0.115651104875,0.115651104875,0.115651104875,0.0641747963185,0.013824954979,0.0623264934745,0.369516703299,0.0814417156936
 01/01  04:00:00,0.718180899202,4.7813953657,0.0,4.75630160374,0.0,0.119138170329,0.119138170329,0.119138170329,0.0641747963185,0.013824954979,0.0539764305342,0.364315295158,0.0861072518823
 01/01  05:00:00,0.766259608518,4.81822601623,0.0,4.79408017448,0.0,0.120102568363,0.120102568363,0.120102568363,0.0641747963185,0.013824954979,0.0658228643082,0.350553236121,0.135137188429
 01/01  06:00:00,1.03007373483,4.72200163657,0.0,4.6950568178,0.0,0.117527470845,0.117527470845,0.117527470845,0.0641747963185,0.013824954979,0.080078180578,0.391189237216,0.34663509489
 01/01  07:00:00,1.64188902336,4.43443024294,0.0,4.40329815454,0.0,0.11009609739,0.11009609739,0.11009609739,0.147602041092,0.0317973945638,0.14038354292,0.451980694856,0.74338525254
 01/01  08:00:00,2.07951315346,4.68451120518,0.0,4.65143102878,0.0,0.1161774461,0.1161774461,0.1161774461,0.301621517204,0.0649772920051,0.228567290958,0.480263351619,0.856262255572
 01/01  09:00:00,2.01186264653,4.17489177011,0.0,4.14692439173,0.0,0.103750414321,0.103750414321,0.103750414321,0.2887865675,0.062212303412,0.30112795013,0.40603492295,0.833306488219
 01/01  10:00:00,1.76365435762,4.00311781375,0.0,3.97931531318,0.0,0.0995491328258,0.0995491328258,0.0995491328258,0.147602041092,0.0317973945638,0.375064554145,0.345568553319,0.747428681675
 01/01  11:00:00,1.67340452401,4.63132282112,0.0,4.60696052515,0.0,0.116113914492,0.116113914492,0.116113914492,0.121932141685,0.0262674173776,0.395792849183,0.353695753539,0.642958447734
 01/01  12:00:00,1.5641087363,3.36168902521,0.0,3.3373192653,0.0,0.0835864173102,0.0835864173102,0.0835864173102,0.121932141685,0.0262674173776,0.413608485392,0.353804116208,0.548266158326
 01/01  13:00:00,1.46367730832,3.02532799728,0.0,3.00136875399,0.0,0.0755829346077,0.0755829346077,0.0755829346077,0.121932141685,0.0262674173776,0.399656479991,0.347844169381,0.475750165276
 01/01  14:00:00,1.38462730905,2.69481868423,0.0,2.67003094375,0.0,0.0675475127201,0.0675475127201,0.0675475127201,0.121932141685,0.0262674173776,0.361435815596,0.359872425705,0.430927995965
 01/01  15:00:00,1.33300070913,2.38846439803,0.0,2.36228090101,0.0,0.0599367974957,0.0599367974957,0.0599367974957,0.128349576704,0.0276499030931,0.331767743197,0.380136244918,0.388516443723
