Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,0.642567640514,0.374702584083,0.0,0.0,0.0,0.0,0.0,0.0,0.128562410501,0.0263694190929,0.092942924749,0.379617886171,0.348552668294
 01/01  02:00:00,0.546515102103,0.857507209024,0.0,0.553360790569,0.0,0.0153493187712,0.0153493187712,0.0153493187712,0.0749947671662,0.0153821588643,0.0761857795615,0.34952807774,0.280069234182
 01/01  03:00:00,0.516021269725,1.31511062811,0.0,1.03067615853,0.0,0.0285892625152,0.0285892625152,0.0285892625152,0.0535676765835,0.0109872588647,0.0623264934745,0.345475578288,0.260636441068
 01/01  04:00:00,0.5171172071,1.83609121722,0.0,1.54653223531,0.0,0.0428982621724,0.0428982621724,0.0428982621724,0.0535676765835,0.0109872588647,0.0539764305342,0.340612578945,0.266095940303
 01/01  05:00:00,0.529102447491,2.361510784,0.0,2.01539535888,0.0,0.0559037545498,0.0559037545498,0.0559037545498,0.0535676765835,0.0109872588647,0.0658228643082,0.327745893185,0.323538703055
 01/01  06:00:00,0.590740471379,2.95094001517,0.0,2.35393471403,0.0,0.0652942798046,0.0652942798046,0.0652942798046,0.0535676765835,0.0109872588647,0.080078180578,0.365738075548,0.57181149383
 01/01  07:00:00,0.822462391947,4.52571088364,0.0,3.45922089238,0.0,0.095953101633,0.095953101633,0.095953101633,0.123205679416,0.0252706876143,0.14038354292,0.422574380363,1.03738102442
 01/01  08:00:00,1.0891687315,3.47496446927,0.0,2.27487540903,0.0,0.0631013046335,0.0631013046335,0.0631013046335,0.251768089917,0.0516401067072,0.228567290958,0.449016939288,1.16915860207
 01/01  09:00:00,1.02785783537,2.66541134452,0.0,1.49755738881,0.0,0.0415397804304,0.0415397804304,0.0415397804304,0.24105456125,0.0494426573893,0.30112795013,0.379617886171,1.14170403992
 01/01  10:00:00,0.879314825212,1.69775554625,0.0,0.634983018871,0.0,0.0176133852218,0.0176133852218,0.0176133852218,0.123205679416,0.0252706876143,0.375064554145,0.323085518815,1.04051683443
 01/01  11:00:00,0.864206149034,0.940377159984,0.0,0.0,0.0,0.0,0.0,0.0,0.101778555585,0.0208757889786,0.395792849183,0.330683955288,0.917598049994
 01/01  12:00:00,0.882123097729,0.824921318776,0.0,0.0,0.0,0.0,0.0,0.0,0.101778555585,0.0208757889786,0.413608485392,0.330785267774,0.802135229891
 01/01  13:00:00,0.862598905581,0.735772994443,0.0,0.0,0.0,0.0,0.0,0.0,0.101778555585,0.0208757889786,0.399656479991,0.325213081027,0.713370744728
 01/01  14:00:00,0.835623927166,0.679204194533,0.0,0.0,0.0,0.0,0.0,0.0,0.101778555585,0.0208757889786,0.361435815596,0.336458767007,0.656027287585
 01/01  15:00:00,0.831356818766,0.630737333444,0.0,0.0,0.0,0.0,0.0,0.0,0.107135353167,0.0219745204572,0.331767743197,0.355404201945,0.60625537332
 01/01  16:00:00,0.891545084126,0.636729020295,0.0,0.0,0.0,0.0,0.0,0.0,0.133919208083,0.0274681505715,0.339922588697,0.375160136774,0.610886175842
 01/01  17:00:00,1.11959307789,0.705611436178,0.0,0.0,0.0,0.0,0.0,0.0,0.224984235001,0.0461464902322,0.389638662656,0.44374869,0.675043880493
 01/01  18:00:00,1.53810911013,0.843495899188,0.0,0.0,0.0,0.0,0.0,0.0,0.417827884001,0.0857006188716,0.480421867651,0.53908373961,0.806361204256
 01/01  19:00:00,1.81178851188,0.972525930716,0.0,0.0,0.0,0.0,0.0,0.0,0.621385061668,0.127452196829,0.432594020017,0.585282233363,0.932208860123
 01/01  20:00:00,1.76281772805,0.999768826297,0.0,0.0,0.0,0.0,0.0,0.0,0.658882445251,0.135143276261,0.349590650728,0.604126355815,0.958153681421
 01/01  21:00:00,1.63498306873,0.932630820924,0.0,0.0,0.0,0.0,0.0,0.0,0.567817418333,0.1164649366,0.310730298291,0.624895415507,0.88958500278
 01/01  22:00:00,1.49386947983,0.840912614729,0.0,0.0,0.0,0.0,0.0,0.0,0.476752324918,0.0977865969395,0.293949140492,0.610306417479,0.79887175732
 01/01  23:00:00,1.20990912941,0.697355157516,0.0,0.0,0.0,0.0,0.0,0.0,0.358903443084,0.0736146271644,0.234174068073,0.528141991089,0.660974183135
 01/01  24:00:00,0.92242887124,0.539441929583,0.0,0.0,0.0,0.0,0.0,0.0,0.246411292335,0.050541388868,0.151455627092,0.458945562945,0.507827539798
 01/02  01:00:00,0.635993957437,0.359405920399,0.0,0.0,0.0,0.0,0.0,0.0,0.128562410501,0.0263694190929,0.0863692416722,0.379617886171,0.33325600461
 01/02  02:00:00,0.527218759256,0.292437366566,0.0,0.0,0.0,0.0,0.0,0.0,0.0749947671662,0.0153821588643,0.0722387554862,0.34952807774,0.268360182293
 01/02  03:00:00,0.484820768783,0.275566469773,0.0,0.0,0.0,0.0,0.0,0.0,0.0535676765835,0.0109872588647,0.0597152550472,0.345475578288,0.25176844126
 01/02  04:00:00,0.472853540756,0.281967673433,0.0,0.0,0.0,0.0,0.0,0.0,0.0535676765835,0.0109872588647,0.0526110263622,0.340612578945,0.258504631831
 01/02  05:00:00,0.470527537326,0.334861333697,0.0,0.0,0.0,0.0,0.0,0.0,0.0535676765835,0.0109872588647,0.0631517086927,0.327745893185,0.312284611632
 01/02  06:00:00,0.522501229376,0.608223045661,0.0,0.041521220282,0.0,0.00115173040219,0.00115173040219,0.00115173040219,0.0535676765835,0.0109872588647,0.0759814879778,0.365738075548,0.541508018067
 01/02  07:00:00,0.715883778096,0.997081392205,0.0,0.0,0.0,0.0,0.0,0.0,0.123205679416,0.0252706876143,0.129758030703,0.422574380363,0.967972425364
 01/02  08:00:00,1.00490606495,1.11491581928,0.0,0.0,0.0,0.0,0.0,0.0,0.251768089917,0.0516401067072,0.207405929039,0.449016939288,1.0839853611
 01/02  09:00:00,0.953880754049,1.07567819351,0.0,0.0,0.0,0.0,0.0,0.0,0.24105456125,0.0494426573893,0.268690649238,0.379617886171,1.04952827773
 01/02  10:00:00,0.816670381524,0.976240269043,0.0,0.0,0.0,0.0,0.0,0.0,0.123205679416,0.0252706876143,0.330033495679,0.323085518815,0.953984576101
 01/02  11:00:00,0.813289919745,0.862788140756,0.0,0.0,0.0,0.0,0.0,0.0,0.101778555585,0.0208757889786,0.344876619894,0.330683955288,0.840009030766
 01/02  12:00:00,0.82963433821,0.76220917877,0.0,0.0,0.0,0.0,0.0,0.0,0.101778555585,0.0208757889786,0.361119725873,0.330785267774,0.739423089886
 01/02  13:00:00,0.81478839949,0.683670877236,0.0,0.0,0.0,0.0,0.0,0.0,0.101778555585,0.0208757889786,0.3518459739,0.325213081027,0.661268627521
 01/02  14:00:00,0.792035894651,0.636826741544,0.0,0.0,0.0,0.0,0.0,0.0,0.101778555585,0.0208757889786,0.317847783081,0.336458767007,0.613649834596
 01/02  15:00:00,0.792231246591,0.592229608781,0.0,0.0,0.0,0.0,0.0,0.0,0.107135353167,0.0219745204572,0.292642171022,0.355404201945,0.567747648656
 01/02  16:00:00,0.854486111271,0.598981676368,0.0,0.0,0.0,0.0,0.0,0.0,0.133919208083,0.0274681505715,0.302863615842,0.375160136774,0.573138831914
 01/02  17:00:00,1.08367515864,0.657949823669,0.0,0.0,0.0,0.0,0.0,0.0,0.224984235001,0.0461464902322,0.353720743409,0.44374869,0.627382267983
 01/02  18:00:00,1.50275717992,0.782715135651,0.0,0.0,0.0,0.0,0.0,0.0,0.417827884001,0.0857006188716,0.445069937436,0.53908373961,0.745580440719
 01/02  19:00:00,1.77747819634,0.893519531562,0.0,0.0,0.0,0.0,0.0,0.0,0.621385061668,0.127452196829,0.398283704478,0.585282233363,0.853202460969
 01/02  20:00:00,1.72857297386,0.912529701086,0.0,0.0,0.0,0.0,0.0,0.0,0.658882445251,0.135143276261,0.315345896534,0.604126355815,0.87091455621
 01/02  21:00:00,1.6001276984,0.849562331671,0.0,0.0,0.0,0.0,0.0,0.0,0.567817418333,0.1164649366,0.275874927963,0.624895415507,0.806516513527
 01/02  22:00:00,1.45826262236,0.771035894433,0.0,0.0,0.0,0.0,0.0,0.0,0.476752324918,0.0977865969395,0.258342283024,0.610306417479,0.728995037024
 01/02  23:00:00,1.18161591749,0.641481789174,0.0,0.0,0.0,0.0,0.0,0.0,0.358903443084,0.0736146271644,0.205880856148,0.528141991089,0.605100814793
 01/02  24:00:00,0.906894025904,0.504215430017,0.0,0.0,0.0,0.0,0.0,0.0,0.246411292335,0.050541388868,0.135920781757,0.458945562945,0.472601040232
