Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,0.642567640514,0.36961230672,0.0,0.0,0.0,0.0,0.0,0.0,0.128562410501,0.0263694190929,0.092942924749,0.379617886171,0.343462390931
 01/01  02:00:00,0.531165783332,0.301123409996,0.0,0.0,0.0,0.0,0.0,0.0,0.0749947671662,0.0153821588643,0.0761857795615,0.34952807774,0.277046225723
 01/01  03:00:00,0.489829781272,0.370669680774,0.0,0.0864425431461,0.0,0.00239777406126,0.00239777406126,0.00239777406126,0.0535676765835,0.0109872588647,0.0623264934745,0.345475578288,0.260429109115
 01/01  04:00:00,0.476184245058,0.36034274634,0.0,0.0708513550402,0.0,0.00196530013044,0.00196530013044,0.00196530013044,0.0535676765835,0.0109872588647,0.0539764305342,0.340612578945,0.266028349698
 01/01  05:00:00,0.481950686223,0.661621806976,0.0,0.315519534994,0.0,0.00875199328125,0.00875199328125,0.00875199328125,0.0535676765835,0.0109872588647,0.0658228643082,0.327745893185,0.323525549917
 01/01  06:00:00,0.536551776972,0.997374541689,0.0,0.400369267644,0.0,0.0111055853975,0.0111055853975,0.0111055853975,0.0535676765835,0.0109872588647,0.080078180578,0.365738075548,0.571811466733
 01/01  07:00:00,0.734838922051,1.36678288784,0.0,0.300292910194,0.0,0.00832963173731,0.00832963173731,0.00832963173731,0.123205679416,0.0252706876143,0.14038354292,0.422574380363,1.0373810108
 01/01  08:00:00,1.03766461499,1.6181811773,0.0,0.418092117274,0.0,0.0115971881152,0.0115971881152,0.0115971881152,0.251768089917,0.0516401067072,0.228567290958,0.449016939288,1.16915860185
 01/01  09:00:00,0.986318054941,1.16629032158,0.0,0.0,0.0,0.0,0.0,0.0,0.24105456125,0.0494426573893,0.30112795013,0.379617886171,1.14014040579
 01/01  10:00:00,0.86170143999,1.05755209789,0.0,0.0,0.0,0.0,0.0,0.0,0.123205679416,0.0252706876143,0.375064554145,0.323085518815,1.03529640495
