Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 01/01  01:00:00,0.907505402922,1.76957777729,0.0,1.74161039891,0.0,0.045880716154,0.045880716154,0.045880716154,0.154019476112,0.0331798974413,0.092942924749,0.40603492295,0.158803465516
 01/01  02:00:00,0.72713864185,2.05299009533,0.0,2.02723950675,0.0,0.053173577154,0.053173577154,0.053173577154,0.0898447275923,0.0193549373138,0.0761857795615,0.373851210082,0.0980844101463
 01/01  03:00:00,0.666733845641,2.27434390051,0.0,2.24889186949,0.0,0.0588051520449,0.0588051520449,0.0588051520449,0.0641747963185,0.013824954979,0.0623264934745,0.369516703299,0.081441745526
 01/01  04:00:00,0.659635188574,2.34724066579,0.0,2.32214690382,0.0,0.0605924562298,0.0605924562298,0.0605924562298,0.0641747963185,0.013824954979,0.0539764305342,0.364315295158,0.0861072553544
 01/01  05:00:00,0.707871015709,2.3956450674,0.0,2.37149922565,0.0,0.0617139753083,0.0617139753083,0.0617139753083,0.0641747963185,0.013824954979,0.0658228643082,0.350553236121,0.135137188675
 01/01  06:00:00,0.975075988163,2.43106275407,0.0,2.4041179353,0.0,0.0625297241635,0.0625297241635,0.0625297241635,0.0641747963185,0.013824954979,0.080078180578,0.391189237216,0.346635094908
 01/01  07:00:00,1.58908900472,2.23434104348,0.0,2.20320895508,0.0,0.0572960787456,0.0572960787456,0.0572960787456,0.147602041092,0.0317973945638,0.14038354292,0.451980694856,0.743385252541
 01/01  08:00:00,2.02511988435,2.41317067613,0.0,2.38009049974,0.0,0.0617841769915,0.0617841769915,0.0617841769915,0.301621517204,0.0649772920051,0.228567290958,0.480263351619,0.856262255572
 01/01  09:00:00,1.95866225307,1.97635694727,0.0,1.9483895689,0.0,0.0505500208598,0.0505500208598,0.0505500208598,0.2887865675,0.062212303412,0.30112795013,0.40603492295,0.833306488219
 01/01  10:00:00,1.71479531413,1.9742279558,0.0,1.95042545523,0.0,0.0506900893329,0.0506900893329,0.0506900893329,0.147602041092,0.0317973945638,0.375064554145,0.345568553319,0.747428681675
