Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,0.968236616115,8.46185816849,0.0,8.00832679603,0.0,0.247443010178,0.247443010178,0.247443010178,0.161612796136,0.0352113105958,0.092942924749,0.413914574456,0.425021882867
 01/01  02:00:00,0.840533313273,8.48797173908,0.0,8.12759941241,0.0,0.251315135498,0.251315135498,0.251315135498,0.0942741659095,0.0205399387695,0.0761857795615,0.381106293534,0.334122596466
 01/01  03:00:00,0.792453521789,8.55679113989,0.0,8.22200091402,0.0,0.254317305518,0.254317305518,0.254317305518,0.0673386720226,0.0146713809326,0.0623264934745,0.376687669841,0.308844840364
 01/01  04:00:00,0.781165350155,8.64125789607,0.0,8.29989795742,0.0,0.256681545256,0.256681545256,0.256681545256,0.0673386720226,0.0146713809326,0.0539764305342,0.371385321409,0.315779766786
 01/01  05:00:00,0.785858142889,8.93602560585,0.0,8.52148728652,0.0,0.263557034442,0.263557034442,0.263557034442,0.0673386720226,0.0146713809326,0.0658228643082,0.357356191184,0.38992444188
 01/01  06:00:00,0.836308997318,9.08554190509,0.0,8.35020048287,0.0,0.258327975478,0.258327975478,0.258327975478,0.0673386720226,0.0146713809326,0.080078180578,0.398780788307,0.707874313227
 01/01  07:00:00,1.06435055087,9.66465473824,0.0,8.32807744744,0.0,0.257479864914,0.257479864914,0.257479864914,0.15487897491,0.0337441825195,0.14038354292,0.460751985603,1.30484174742
 01/01  08:00:00,1.41321559675,10.4848741383,0.0,8.97343000862,0.0,0.277505536431,0.277505536431,0.277505536431,0.316491771045,0.0689554931152,0.228567290958,0.489583505201,1.47772273716
 01/01  09:00:00,1.36538322324,10.0169416703,0.0,8.54351085467,0.0,0.264183434901,0.264183434901,0.264183434901,0.303024045,0.06602121875,0.30112795013,0.413914574456,1.44492132606
 01/01  10:00:00,1.17723098427,9.24249426351,0.0,7.90095048249,0.0,0.244156498765,0.244156498765,0.244156498765,0.15487897491,0.0337441825195,0.375064554145,0.352274773936,1.31727989997
 01/01  11:00:00,1.18613230347,9.4890607219,0.0,8.30341082611,0.0,0.25684870612,0.25684870612,0.25684870612,0.127943439226,0.0278756155762,0.395792849183,0.360559693361,1.16081536843
 01/01  12:00:00,1.1817003236,8.62739082692,0.0,7.58486564329,0.0,0.234490624453,0.234490624453,0.234490624453,0.127943439226,0.0278756155762,0.413608485392,0.360670158953,1.01768304766
 01/01  13:00:00,1.11549371664,7.04019070775,0.0,6.10745848003,0.0,0.188311630474,0.188311630474,0.188311630474,0.127943439226,0.0278756155762,0.399656479991,0.354594551375,0.908308565705
 01/01  14:00:00,1.05757273419,5.93962401842,0.0,5.07337962534,0.0,0.156349631664,0.156349631664,0.156349631664,0.127943439226,0.0278756155762,0.361435815596,0.366856232124,0.840976174524
 01/01  15:00:00,1.05866631662,5.93332781827,0.0,5.12937857801,0.0,0.158253169619,0.158253169619,0.158253169619,0.134677344045,0.0293427618652,0.331767743197,0.387513297889,0.777258210249
 01/01  16:00:00,1.14202489502,6.34351420318,0.0,5.53046000171,0.0,0.170911060088,0.170911060088,0.170911060088,0.168346700955,0.0366784568848,0.339922588697,0.409054088393,0.784879491055
 01/01  17:00:00,1.42299387831,6.97896019856,0.0,6.07850960103,0.0,0.187961709026,0.187961709026,0.187961709026,0.282822414136,0.0616197980958,0.389638662656,0.4838392944,0.867124853093
 01/01  18:00:00,1.95498946073,8.49736768796,0.0,7.42761564499,0.0,0.229989753067,0.229989753067,0.229989753067,0.525241650136,0.114436773096,0.480421867651,0.587787416781,1.02926658951
 01/01  19:00:00,2.27775476134,7.98695249995,0.0,6.75524101739,0.0,0.208572379796,0.208572379796,0.208572379796,0.781128612181,0.170188022461,0.432594020017,0.638159726883,1.18775649955
 01/01  20:00:00,2.24842076386,8.20020590386,0.0,6.93366122176,0.0,0.214288099097,0.214288099097,0.214288099097,0.828265695136,0.180457991846,0.349590650728,0.658706327056,1.22117449625
 01/01  21:00:00,2.10109720863,8.38138616963,0.0,7.19989589577,0.0,0.222596522479,0.222596522479,0.222596522479,0.713789981955,0.155516632422,0.310730298291,0.681351773484,1.13456032142
 01/01  22:00:00,1.94124097842,8.65828507411,0.0,7.59449149437,0.0,0.234845633349,0.234845633349,0.234845633349,0.599314185181,0.130575291211,0.293949140492,0.665444728188,1.01795926822
 01/01  23:00:00,1.62657942027,8.95899007259,0.0,8.08153549079,0.0,0.249968849317,0.249968849317,0.249968849317,0.45116911509,0.0982982549805,0.234174068073,0.57585713281,0.83779085903
 01/01  24:00:00,1.3101533115,9.20265429244,0.0,8.53158873774,0.0,0.263930338103,0.263930338103,0.263930338103,0.309757866226,0.0674883468263,0.151455627092,0.500409133249,0.636598517656
 01/02  01:00:00,1.00148019367,9.71935411779,0.0,9.28127397781,0.0,0.28726027081,0.28726027081,0.28726027081,0.161612796136,0.0352113105958,0.0863692416722,0.413914574456,0.409570650391
 01/02  02:00:00,0.879214779822,9.85027804861,0.0,9.49836380835,0.0,0.293943626122,0.293943626122,0.293943626122,0.0942741659095,0.0205399387695,0.0722387554862,0.381106293534,0.32566451006
 01/02  03:00:00,0.834146615095,9.98061639288,0.0,9.65276877919,0.0,0.298621637252,0.298621637252,0.298621637252,0.0673386720226,0.0146713809326,0.0597152550472,0.376687669841,0.301902228186
 01/02  04:00:00,0.82710209406,10.1580554086,0.0,9.82407006677,0.0,0.303983693333,0.303983693333,0.303983693333,0.0673386720226,0.0146713809326,0.0526110263622,0.371385321409,0.30840516997
 01/02  05:00:00,0.823110439892,10.2066098144,0.0,9.80655607788,0.0,0.303480487061,0.303480487061,0.303480487061,0.0673386720226,0.0146713809326,0.0631517086927,0.357356191184,0.375439859055
 01/02  06:00:00,0.880619073191,10.6072628095,0.0,9.91182614178,0.0,0.306734743951,0.306734743951,0.306734743951,0.0673386720226,0.0146713809326,0.0759814879778,0.398780788307,0.667969558752
 01/02  07:00:00,1.11640424596,11.5886474504,0.0,10.3420556079,0.0,0.320159072228,0.320159072228,0.320159072228,0.15487897491,0.0337441825195,0.129758030703,0.460751985603,1.21485629908
 01/02  08:00:00,1.41244597551,11.0289438583,0.0,9.62809858341,0.0,0.297897277114,0.297897277114,0.297897277114,0.316491771045,0.0689554931152,0.207405929039,0.489583505201,1.36712388236
 01/02  09:00:00,1.32998610858,9.81167981953,0.0,8.45377954931,0.0,0.261223621132,0.261223621132,0.261223621132,0.303024045,0.06602121875,0.268690649238,0.413914574456,1.32939078064
 01/02  10:00:00,1.15648134852,9.91053476067,0.0,8.67512365868,0.0,0.268437921477,0.268437921477,0.268437921477,0.15487897491,0.0337441825195,0.330033495679,0.352274773936,1.21114722094
 01/02  11:00:00,1.18096276945,10.8619561957,0.0,9.76794831402,0.0,0.302595401393,0.302595401393,0.302595401393,0.127943439226,0.0278756155762,0.344876619894,0.360559693361,1.06917335434
 01/02  12:00:00,1.15198320344,9.29244778856,0.0,8.32702629901,0.0,0.257262263816,0.257262263816,0.257262263816,0.127943439226,0.0278756155762,0.361119725873,0.360670158953,0.94057935357
 01/02  13:00:00,1.12567011542,8.83196143839,0.0,7.96583490453,0.0,0.246298535343,0.246298535343,0.246298535343,0.127943439226,0.0278756155762,0.3518459739,0.354594551375,0.841702871845
 01/02  14:00:00,1.09962710771,8.63125866478,0.0,7.82368861864,0.0,0.241992037702,0.241992037702,0.241992037702,0.127943439226,0.0278756155762,0.317847783081,0.366856232124,0.782301827586
 01/02  15:00:00,1.1018372611,8.52850089924,0.0,7.77821488137,0.0,0.240549686281,0.240549686281,0.240549686281,0.134677344045,0.0293427618652,0.292642171022,0.387513297889,0.723594987854
 01/02  16:00:00,1.17817712589,8.65013347983,0.0,7.89103374735,0.0,0.244122263817,0.244122263817,0.244122263817,0.168346700955,0.0366784568848,0.302863615842,0.409054088393,0.730925022058
