Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 01/01  01:00:00,0.795278643268,0.0,0.0,0.0,0.0,0.0,0.0,0.128562410501,0.0263694190929,0.092942924749,0.405549025336,0.12677986359
 01/01  02:00:00,0.636528802836,0.0,0.0,0.0,0.0,0.0,0.0,0.0749947671662,0.0153821588643,0.0761857795615,0.37340382637,0.0814872708745
 01/01  03:00:00,0.581021825785,0.0,0.0,0.0,0.0,0.0,0.0,0.0535676765835,0.0109872588647,0.0623264934745,0.369074506644,0.0699908902181
 01/01  04:00:00,0.571063231208,0.0,0.0,0.0,0.0,0.0,0.0,0.0535676765835,0.0109872588647,0.0539764305342,0.363879322973,0.073577542253
 01/01  05:00:00,0.737328414035,0.0,0.127694568273,0.0,0.00394047311351,0.131635041387,0.00394047311351,0.0535676765835,0.0109872588647,0.0658228643082,0.350133732842,0.110106840049
 01/01  06:00:00,1.11779499215,0.0,0.28979044076,0.0,0.00901430362801,0.298804744388,0.00901430362801,0.0535676765835,0.0109872588647,0.080078180578,0.390721105274,0.268561026461
 01/01  07:00:00,1.50609635724,0.0,0.180040602258,0.0,0.00561121583493,0.185651818093,0.00561121583493,0.123205679416,0.0252706876143,0.14038354292,0.451439814432,0.565069814763
 01/01  08:00:00,1.83877741154,0.0,0.131226886461,0.0,0.00406163756195,0.135288524023,0.00406163756195,0.251768089917,0.0516401067072,0.228567290958,0.479688625644,0.646749774292
 01/01  09:00:00,1.69921456155,0.0,0.0576339059475,0.0,0.00177693932222,0.0594108452697,0.00177693932222,0.24105456125,0.0494426573893,0.30112795013,0.405549025336,0.627554522175
 01/01  10:00:00,1.44539577224,0.0,0.0,0.0,0.0,0.0,0.0,0.123205679416,0.0252706876143,0.375064554145,0.345155015158,0.561624835907
 01/01  11:00:00,1.36978116948,0.0,0.0,0.0,0.0,0.0,0.0,0.101778555585,0.0208757889786,0.395792849183,0.353272489644,0.482986486091
 01/01  12:00:00,1.31698989593,0.0,0.0,0.0,0.0,0.0,0.0,0.101778555585,0.0208757889786,0.413608485392,0.353380722637,0.412271343338
 01/01  13:00:00,1.24277935515,0.0,0.0,0.0,0.0,0.0,0.0,0.101778555585,0.0208757889786,0.399656479991,0.347427908014,0.357965622578
 01/01  14:00:00,1.18350121252,0.0,0.0,0.0,0.0,0.0,0.0,0.101778555585,0.0208757889786,0.361435815596,0.359441770253,0.324894282111
