Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 01/01  01:00:00,0.795200017266,0.0,0.0,0.0,0.0,0.0,0.0,0.128562410501,0.0263694190929,0.092942924749,0.405549025336,0.126701237588
 01/01  02:00:00,0.636831147425,0.0,0.0,0.0,0.0,0.0,0.0,0.0749947671662,0.0153821588643,0.0761857795615,0.37340382637,0.0817896154635
 01/01  03:00:00,0.581092585607,0.0,0.0,0.0,0.0,0.0,0.0,0.0535676765835,0.0109872588647,0.0623264934745,0.369074506644,0.0700616500404
 01/01  04:00:00,0.670655635593,0.0,0.0963632629472,0.0,0.00294225297349,0.0993055159207,0.00294225297349,0.0535676765835,0.0109872588647,0.0539764305342,0.363879322973,0.0738644307174
 01/01  05:00:00,0.951748095201,0.0,0.33565773347,0.0,0.0103562302668,0.346013963737,0.0103562302668,0.0535676765835,0.0109872588647,0.0658228643082,0.350133732842,0.110147598866
 01/01  06:00:00,1.25198105643,0.0,0.419978400319,0.0,0.0130124061444,0.432990806464,0.0130124061444,0.0535676765835,0.0109872588647,0.080078180578,0.390721105274,0.268561028668
 01/01  07:00:00,1.75200514251,0.0,0.418566880754,0.0,0.0129937226094,0.431560603363,0.0129937226094,0.123205679416,0.0252706876143,0.14038354292,0.451439814432,0.565069814763
 01/01  08:00:00,1.87731031611,0.0,0.168644804001,0.0,0.00517662459137,0.173821428592,0.00517662459137,0.251768089917,0.0516401067072,0.228567290958,0.479688625644,0.646749774292
 01/01  09:00:00,1.63947706974,0.0,0.0,0.0,0.0,0.0,0.0,0.24105456125,0.0494426573893,0.30112795013,0.405549025336,0.627227875638
 01/01  10:00:00,1.44470588586,0.0,0.0,0.0,0.0,0.0,0.0,0.123205679416,0.0252706876143,0.375064554145,0.345155015158,0.560934949528
 01/01  11:00:00,1.36903639318,0.0,0.0,0.0,0.0,0.0,0.0,0.101778555585,0.0208757889786,0.395792849183,0.353272489644,0.482241709791
 01/01  12:00:00,1.31618554026,0.0,0.0,0.0,0.0,0.0,0.0,0.101778555585,0.0208757889786,0.413608485392,0.353380722637,0.411466987666
