Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 01/01  01:00:00,0.794661036621,0.0,0.0,0.0,0.0,0.0,0.0,0.128562410501,0.0263694190929,0.092942924749,0.405549025336,0.126162256942
 01/01  02:00:00,0.635676753466,0.0,0.0,0.0,0.0,0.0,0.0,0.0749947671662,0.0153821588643,0.0761857795615,0.37340382637,0.0806352215042
 01/01  03:00:00,0.579833041134,0.0,0.0,0.0,0.0,0.0,0.0,0.0535676765835,0.0109872588647,0.0623264934745,0.369074506644,0.0688021055674
 01/01  04:00:00,0.569918382525,0.0,0.0,0.0,0.0,0.0,0.0,0.0535676765835,0.0109872588647,0.0539764305342,0.363879322973,0.0724326935705
 01/01  05:00:00,0.604463585012,0.0,0.0,0.0,0.0,0.0,0.0,0.0535676765835,0.0109872588647,0.0658228643082,0.350133732842,0.108877052413
 01/01  06:00:00,0.817732721037,0.0,0.0,0.0,0.0,0.0,0.0,0.0535676765835,0.0109872588647,0.080078180578,0.390721105274,0.267303499736
 01/01  07:00:00,1.31920928468,0.0,0.0,0.0,0.0,0.0,0.0,0.123205679416,0.0252706876143,0.14038354292,0.451439814432,0.5638345603
 01/01  08:00:00,1.70207889624,0.0,0.0,0.0,0.0,0.0,0.0,0.251768089917,0.0516401067072,0.228567290958,0.479688625644,0.645339783015
 01/01  09:00:00,1.63829664835,0.0,0.0,0.0,0.0,0.0,0.0,0.24105456125,0.0494426573893,0.30112795013,0.405549025336,0.626047454244
 01/01  10:00:00,1.4433858878,0.0,0.0,0.0,0.0,0.0,0.0,0.123205679416,0.0252706876143,0.375064554145,0.345155015158,0.559614951471
 01/01  11:00:00,1.36768369963,0.0,0.0,0.0,0.0,0.0,0.0,0.101778555585,0.0208757889786,0.395792849183,0.353272489644,0.480889016244
 01/01  12:00:00,1.31529853599,0.0,0.0,0.0,0.0,0.0,0.0,0.101778555585,0.0208757889786,0.413608485392,0.353380722637,0.410579983403
 01/01  13:00:00,1.24153953593,0.0,0.0,0.0,0.0,0.0,0.0,0.101778555585,0.0208757889786,0.399656479991,0.347427908014,0.356725803358
 01/01  14:00:00,1.18283788541,0.0,0.0,0.0,0.0,0.0,0.0,0.101778555585,0.0208757889786,0.361435815596,0.359441770253,0.324230954999
 01/01  15:00:00,1.148676651,0.0,0.0,0.0,0.0,0.0,0.0,0.107135353167,0.0219745204572,0.331767743197,0.379681339973,0.293042694204
 01/01  16:00:00,1.21421767599,0.0,0.0,0.0,0.0,0.0,0.0,0.133919208083,0.0274681505715,0.339922588697,0.400786773637,0.297045954998
 01/01  17:00:00,1.48742674749,0.0,0.0,0.0,0.0,0.0,0.0,0.224984235001,0.0461464902322,0.389638662656,0.47406051,0.337521849604
 01/01  18:00:00,1.9952238039,0.0,0.0,0.0,0.0,0.0,0.0,0.417827884001,0.0857006188716,0.480421867651,0.575907756555,0.420290676827
 01/01  19:00:00,2.35403896506,0.0,0.0,0.0,0.0,0.0,0.0,0.621385061668,0.127452196829,0.432594020017,0.625262001432,0.502270685114
 01/01  20:00:00,2.32419275463,0.0,0.0,0.0,0.0,0.0,0.0,0.658882445251,0.135143276261,0.349590650728,0.645393338158,0.520108044236
 01/01  21:00:00,2.15316189082,0.0,0.0,0.0,0.0,0.0,0.0,0.567817418333,0.1164649366,0.310730298291,0.667581101753,0.475493135839
 01/01  22:00:00,1.95196616719,0.0,0.0,0.0,0.0,0.0,0.0,0.476752324918,0.0977865969395,0.293949140492,0.65199555074,0.416407554104
 01/01  23:00:00,1.57423040722,0.0,0.0,0.0,0.0,0.0,0.0,0.358903443084,0.0736146271644,0.234174068073,0.564218593295,0.328244675601
 01/01  24:00:00,1.18424915322,0.0,0.0,0.0,0.0,0.0,0.0,0.246411292335,0.050541388868,0.151455627092,0.490295458973,0.23047038595
 01/02  01:00:00,0.780542915033,0.0,0.0,0.0,0.0,0.0,0.0,0.128562410501,0.0263694190929,0.0863692416722,0.405549025336,0.118617818431
 01/02  02:00:00,0.628197182442,0.0,0.0,0.0,0.0,0.0,0.0,0.0749947671662,0.0153821588643,0.0722387554862,0.37340382637,0.0771026745554
 01/02  03:00:00,0.574571553209,0.0,0.0,0.0,0.0,0.0,0.0,0.0535676765835,0.0109872588647,0.0597152550472,0.369074506644,0.0661518560697
 01/02  04:00:00,0.565686806527,0.0,0.0,0.0,0.0,0.0,0.0,0.0535676765835,0.0109872588647,0.0526110263622,0.363879322973,0.0695665217438
 01/02  05:00:00,0.595686394917,0.0,0.0,0.0,0.0,0.0,0.0,0.0535676765835,0.0109872588647,0.0631517086927,0.350133732842,0.102771017933
 01/02  06:00:00,0.795004656234,0.0,0.0,0.0,0.0,0.0,0.0,0.0535676765835,0.0109872588647,0.0759814879778,0.390721105274,0.248672127534
 01/02  07:00:00,1.26500914274,0.0,0.0,0.0,0.0,0.0,0.0,0.123205679416,0.0252706876143,0.129758030703,0.451439814432,0.520259930576
 01/02  08:00:00,1.62829061749,0.0,0.0,0.0,0.0,0.0,0.0,0.251768089917,0.0516401067072,0.207405929039,0.479688625644,0.592712866178
 01/02  09:00:00,1.55132530617,0.0,0.0,0.0,0.0,0.0,0.0,0.24105456125,0.0494426573893,0.268690649238,0.405549025336,0.571513412957
 01/02  10:00:00,1.34940247419,0.0,0.0,0.0,0.0,0.0,0.0,0.123205679416,0.0252706876143,0.330033495679,0.345155015158,0.510662596328
 01/02  11:00:00,1.27542972524,0.0,0.0,0.0,0.0,0.0,0.0,0.101778555585,0.0208757889786,0.344876619894,0.353272489644,0.439551271141
 01/02  12:00:00,1.2287400419,0.0,0.0,0.0,0.0,0.0,0.0,0.101778555585,0.0208757889786,0.361119725873,0.353380722637,0.376510248827
 01/02  13:00:00,1.16422001013,0.0,0.0,0.0,0.0,0.0,0.0,0.101778555585,0.0208757889786,0.3518459739,0.347427908014,0.327216783658
 01/02  14:00:00,1.11362661358,0.0,0.0,0.0,0.0,0.0,0.0,0.101778555585,0.0208757889786,0.317847783081,0.359441770253,0.298607715686
 01/02  15:00:00,1.0861048731,0.0,0.0,0.0,0.0,0.0,0.0,0.107135353167,0.0219745204572,0.292642171022,0.379681339973,0.269596488484
 01/02  16:00:00,1.15352705319,0.0,0.0,0.0,0.0,0.0,0.0,0.133919208083,0.0274681505715,0.302863615842,0.400786773637,0.273414305054
 01/02  17:00:00,1.42238431411,0.0,0.0,0.0,0.0,0.0,0.0,0.224984235001,0.0461464902322,0.353720743409,0.47406051,0.308397335469
 01/02  18:00:00,1.92446213647,0.0,0.0,0.0,0.0,0.0,0.0,0.417827884001,0.0857006188716,0.445069937436,0.575907756555,0.384880939612
 01/02  19:00:00,2.27315046049,0.0,0.0,0.0,0.0,0.0,0.0,0.621385061668,0.127452196829,0.398283704478,0.625262001432,0.455692496082
 01/02  20:00:00,2.23737732294,0.0,0.0,0.0,0.0,0.0,0.0,0.658882445251,0.135143276261,0.315345896534,0.645393338158,0.467537366738
 01/02  21:00:00,2.06814581374,0.0,0.0,0.0,0.0,0.0,0.0,0.567817418333,0.1164649366,0.275874927963,0.667581101753,0.425332429094
 01/02  22:00:00,1.87433396733,0.0,0.0,0.0,0.0,0.0,0.0,0.476752324918,0.0977865969395,0.258342283024,0.65199555074,0.374382211707
 01/02  23:00:00,1.51269599622,0.0,0.0,0.0,0.0,0.0,0.0,0.358903443084,0.0736146271644,0.205880856148,0.564218593295,0.295003476526
 01/02  24:00:00,1.14802386429,0.0,0.0,0.0,0.0,0.0,0.0,0.246411292335,0.050541388868,0.135920781757,0.490295458973,0.209779942357
 01/03  01:00:00,0.780485672391,0.0,0.0,0.0,0.0,0.0,0.0,0.128562410501,0.0263694190929,0.0863692416722,0.405549025336,0.11856057579
 01/03  02:00:00,0.627859640119,0.0,0.0,0.0,0.0,0.0,0.0,0.0749947671662,0.0153821588643,0.0722387554862,0.37340382637,0.0767651322324
 01/03  03:00:00,0.574355174706,0.0,0.0,0.0,0.0,0.0,0.0,0.0535676765835,0.0109872588647,0.0597152550472,0.369074506644,0.0659354775664
 01/03  04:00:00,0.565468898765,0.0,0.0,0.0,0.0,0.0,0.0,0.0535676765835,0.0109872588647,0.0526110263622,0.363879322973,0.0693486139821
 01/03  05:00:00,0.595792972644,0.0,0.0,0.0,0.0,0.0,0.0,0.0535676765835,0.0109872588647,0.0631517086927,0.350133732842,0.102877595661
 01/03  06:00:00,0.79555729168,0.0,0.0,0.0,0.0,0.0,0.0,0.0535676765835,0.0109872588647,0.0759814879778,0.390721105274,0.24922476298
 01/03  07:00:00,1.83021120837,0.0,0.546132371176,0.0,0.0179696934678,0.564102064644,0.0179696934678,0.123205679416,0.0252706876143,0.129758030703,0.451439814432,0.52135993156
 01/03  08:00:00,1.64921052769,0.0,0.0189939744191,0.0,0.000607255689069,0.0196012301082,0.000607255689069,0.251768089917,0.0516401067072,0.207405929039,0.479688625644,0.594031546279
 01/03  09:00:00,1.55258345457,0.0,0.0,0.0,0.0,0.0,0.0,0.24105456125,0.0494426573893,0.268690649238,0.405549025336,0.572771561358
 01/03  10:00:00,1.48352862963,0.0,0.129027277075,0.0,0.00410999282626,0.133137269901,0.00410999282626,0.123205679416,0.0252706876143,0.330033495679,0.345155015158,0.511651481858
 01/03  11:00:00,1.96309139846,0.0,0.665521944719,0.0,0.0211670727514,0.68668901747,0.0211670727514,0.101778555585,0.0208757889786,0.344876619894,0.353272489644,0.440523926891
 01/03  12:00:00,1.62887669091,0.0,0.386687204223,0.0,0.0122131227727,0.398900326996,0.0122131227727,0.101778555585,0.0208757889786,0.361119725873,0.353380722637,0.37774657084
 01/03  13:00:00,1.56300111453,0.0,0.385134847676,0.0,0.0120667701716,0.397201617847,0.0120667701716,0.101778555585,0.0208757889786,0.3518459739,0.347427908014,0.328796270209
 01/03  14:00:00,1.59211119593,0.0,0.462172608849,0.0,0.0144639804452,0.476636589294,0.0144639804452,0.101778555585,0.0208757889786,0.317847783081,0.359441770253,0.300455708734
 01/03  15:00:00,1.43304841483,0.0,0.334351980224,0.0,0.0104537230546,0.344805703279,0.0104537230546,0.107135353167,0.0219745204572,0.292642171022,0.379681339973,0.271734326929
 01/03  16:00:00,1.58728454715,0.0,0.418289527654,0.0,0.0130664610274,0.431355988681,0.0130664610274,0.133919208083,0.0274681505715,0.302863615842,0.400786773637,0.275815810334
 01/03  17:00:00,1.94792375135,0.0,0.507149796833,0.0,0.0158766764526,0.523026473286,0.0158766764526,0.224984235001,0.0461464902322,0.353720743409,0.47406051,0.310910299424
 01/03  18:00:00,3.17819332072,0.0,1.21347540482,0.0,0.038183496729,1.25165890155,0.038183496729,0.417827884001,0.0857006188716,0.445069937436,0.575907756555,0.386953222308
