Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 01/01  01:00:00,0.795233079669,0.0,0.0,0.0,0.0,0.0,0.0,0.128562410501,0.0263694190929,0.092942924749,0.405549025336,0.12673429999
 01/01  02:00:00,0.636255396487,0.0,0.0,0.0,0.0,0.0,0.0,0.0749947671662,0.0153821588643,0.0761857795615,0.37340382637,0.0812138645252
 01/01  03:00:00,0.580725434288,0.0,0.0,0.0,0.0,0.0,0.0,0.0535676765835,0.0109872588647,0.0623264934745,0.369074506644,0.069694498722
 01/01  04:00:00,0.571085386673,0.0,0.0,0.0,0.0,0.0,0.0,0.0535676765835,0.0109872588647,0.0539764305342,0.363879322973,0.0735996977186
 01/01  05:00:00,0.60553044898,0.0,0.0,0.0,0.0,0.0,0.0,0.0535676765835,0.0109872588647,0.0658228643082,0.350133732842,0.109943916381
 01/01  06:00:00,0.852754120727,0.0,0.0327696361632,0.0,0.00100943292919,0.0337790690924,0.00100943292919,0.0535676765835,0.0109872588647,0.080078180578,0.390721105274,0.268545830334
 01/01  07:00:00,2.06788555564,0.0,0.724790066787,0.0,0.0226509590391,0.747441025826,0.0226509590391,0.123205679416,0.0252706876143,0.14038354292,0.451439814432,0.56506980543
 01/01  08:00:00,1.82560807459,0.0,0.118406977094,0.0,0.00371220490711,0.122119182001,0.00371220490711,0.251768089917,0.0516401067072,0.228567290958,0.479688625644,0.646749779368
 01/01  09:00:00,1.63971941555,0.0,0.0,0.0,0.0,0.0,0.0,0.24105456125,0.0494426573893,0.30112795013,0.405549025336,0.627470221444
 01/01  10:00:00,1.44527662071,0.0,0.0,0.0,0.0,0.0,0.0,0.123205679416,0.0252706876143,0.375064554145,0.345155015158,0.561505684374
 01/01  11:00:00,1.36988521011,0.0,0.0,0.0,0.0,0.0,0.0,0.101778555585,0.0208757889786,0.395792849183,0.353272489644,0.48309052672
 01/01  12:00:00,1.31726610823,0.0,0.0,0.0,0.0,0.0,0.0,0.101778555585,0.0208757889786,0.413608485392,0.353380722637,0.412547555634
