Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 01/01  01:00:00,1.89668072585,0.0,1.06617358144,0.0,0.0338366794148,1.10001026085,0.0338366794148,0.128562410501,0.0263694190929,0.092942924749,0.405549025336,0.128171685323
 01/01  02:00:00,2.03681778661,0.0,1.35638763732,0.0,0.0428777377252,1.39926537504,0.0428777377252,0.0749947671662,0.0153821588643,0.0761857795615,0.37340382637,0.0825108796087
 01/01  03:00:00,2.23001695636,0.0,1.59828140576,0.0,0.0502608520962,1.64854225785,0.0502608520962,0.0535676765835,0.0109872588647,0.0623264934745,0.369074506644,0.070443762938
 01/01  04:00:00,2.42633331337,0.0,1.79866525867,0.0,0.0563138706488,1.85497912932,0.0563138706488,0.0535676765835,0.0109872588647,0.0539764305342,0.363879322973,0.0738684950971
 01/01  05:00:00,2.7031814756,0.0,2.03393523578,0.0,0.0635111068693,2.09744634265,0.0635111068693,0.0535676765835,0.0109872588647,0.0658228643082,0.350133732842,0.110148600353
 01/01  06:00:00,3.06456069151,0.0,2.17776239728,0.0,0.0678080325674,2.24557042985,0.0678080325674,0.0535676765835,0.0109872588647,0.080078180578,0.390721105274,0.268561040363
 01/01  07:00:00,4.4948585226,0.0,3.07837581164,0.0,0.0960381671379,3.17441397878,0.0960381671379,0.123205679416,0.0252706876143,0.14038354292,0.451439814432,0.565069819437
 01/01  08:00:00,5.05251737875,0.0,3.24739491726,0.0,0.101633573942,3.3490284912,0.101633573942,0.251768089917,0.0516401067072,0.228567290958,0.479688625644,0.646749774327
 01/01  09:00:00,3.89180984576,0.0,2.18507304966,0.0,0.0669330798195,2.25200612948,0.0669330798195,0.24105456125,0.0494426573893,0.30112795013,0.405549025336,0.627554522176
 01/01  10:00:00,3.04588440269,0.0,1.55306671008,0.0,0.0473027106942,1.60036942078,0.0473027106942,0.123205679416,0.0252706876143,0.375064554145,0.345155015158,0.561744045581
 01/01  11:00:00,3.27703369985,0.0,1.84961547927,0.0,0.0573495405261,1.90696501979,0.0573495405261,0.101778555585,0.0208757889786,0.395792849183,0.353272489644,0.483273996669
