Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 01/01  01:00:00,2.58779068324,0.0,1.73646991639,0.0,0.0546502990565,1.79112021544,0.0546502990565,0.128562410501,0.0263694190929,0.092942924749,0.405549025336,0.12817168812
 01/01  02:00:00,2.82774262001,0.0,2.12370776254,0.0,0.0664824458832,2.19019020843,0.0664824458832,0.0749947671662,0.0153821588643,0.0761857795615,0.37340382637,0.0825108796174
 01/01  03:00:00,3.2821829912,0.0,2.61909541409,0.0,0.0816128786,2.70070829269,0.0816128786,0.0535676765835,0.0109872588647,0.0623264934745,0.369074506644,0.070443762938
 01/01  04:00:00,3.45205653194,0.0,2.79415212321,0.0,0.0865502275982,2.88070235081,0.0865502275982,0.0535676765835,0.0109872588647,0.0539764305342,0.363879322973,0.0738684921786
 01/01  05:00:00,3.58411643535,0.0,2.88912441622,0.0,0.0892568871897,2.97838130341,0.0892568871897,0.0535676765835,0.0109872588647,0.0658228643082,0.350133732842,0.110148599342
 01/01  06:00:00,3.95077356272,0.0,3.03824530251,0.0,0.0935380073279,3.13178330984,0.0935380073279,0.0535676765835,0.0109872588647,0.080078180578,0.390721105274,0.268561031582
 01/01  07:00:00,4.39781039551,0.0,2.98542030755,0.0,0.0919455488107,3.07736585636,0.0919455488107,0.123205679416,0.0252706876143,0.14038354292,0.451439814432,0.565069814763
 01/01  08:00:00,4.6687422534,0.0,2.87699976272,0.0,0.0882536031619,2.96525336588,0.0882536031619,0.251768089917,0.0516401067072,0.228567290958,0.479688625644,0.646749774292
 01/01  09:00:00,4.13199119118,0.0,2.41848369444,0.0,0.0737037804639,2.4921874749,0.0737037804639,0.24105456125,0.0494426573893,0.30112795013,0.405549025336,0.627554522175
 01/01  10:00:00,3.22103687116,0.0,1.72310738551,0.0,0.0524145045343,1.77552189005,0.0524145045343,0.123205679416,0.0252706876143,0.375064554145,0.345155015158,0.56174404478
 01/01  11:00:00,2.88874305155,0.0,1.4734363679,0.0,0.0452380088926,1.51867437679,0.0452380088926,0.101778555585,0.0208757889786,0.395792849183,0.353272489644,0.483273991369
 01/01  12:00:00,1.83848246332,0.0,0.505253200687,0.0,0.015398828492,0.520652029179,0.015398828492,0.101778555585,0.0208757889786,0.413608485392,0.353380722637,0.413111881548
 01/01  13:00:00,1.28099198352,0.0,0.0356829843628,0.0,0.00108526378721,0.03676824815,0.00108526378721,0.101778555585,0.0208757889786,0.399656479991,0.347427908014,0.359410002805
 01/01  14:00:00,1.185191912,0.0,0.0,0.0,0.0,0.0,0.0,0.101778555585,0.0208757889786,0.361435815596,0.359441770253,0.326584981593
 01/01  15:00:00,1.15052711222,0.0,0.0,0.0,0.0,0.0,0.0,0.107135353167,0.0219745204572,0.331767743197,0.379681339973,0.294893155422
