Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,0.684755205014,1.83652830321,0.0,1.45898329311,0.0,0.0421875644997,0.0421875644997,0.0421875644997,0.128562410501,0.0263694190929,0.092942924749,0.379617886171,0.351395094311
 01/01  02:00:00,0.595268245188,2.51460259455,0.0,2.21045303363,0.0,0.0641024618563,0.0641024618563,0.0641024618563,0.0749947671662,0.0153821588643,0.0761857795615,0.34952807774,0.28007237665
 01/01  03:00:00,0.568855739855,3.1067702006,0.0,2.82233530049,0.0,0.0814237326448,0.0814237326448,0.0814237326448,0.0535676765835,0.0109872588647,0.0623264934745,0.345475578288,0.260636871595
 01/01  04:00:00,0.567599287273,3.54838168664,0.0,3.25882264336,0.0,0.0933803423456,0.0933803423456,0.0933803423456,0.0535676765835,0.0109872588647,0.0539764305342,0.340612578945,0.266096001681
 01/01  05:00:00,0.575667331138,3.93696060134,0.0,3.59084514208,0.0,0.102468638197,0.102468638197,0.102468638197,0.0535676765835,0.0109872588647,0.0658228643082,0.327745893185,0.323538737203
 01/01  06:00:00,0.638402736913,4.56620933618,0.0,3.96920405984,0.0,0.112956545339,0.112956545339,0.112956545339,0.0535676765835,0.0109872588647,0.080078180578,0.365738075548,0.571811469032
 01/01  07:00:00,0.882881667873,6.53548078674,0.0,5.46899071531,0.0,0.156372377559,0.156372377559,0.156372377559,0.123205679416,0.0252706876143,0.14038354292,0.422574380363,1.03738110459
 01/01  08:00:00,1.14603123607,5.44559336312,0.0,4.24550425274,0.0,0.119963809196,0.119963809196,0.119963809196,0.251768089917,0.0516401067072,0.228567290958,0.449016939288,1.1691586522
 01/01  09:00:00,1.07492527862,4.36012164935,0.0,3.19226769305,0.0,0.0886072236751,0.0886072236751,0.0886072236751,0.24105456125,0.0494426573893,0.30112795013,0.379617886171,1.14170404051
 01/01  10:00:00,0.917005239123,3.05653880438,0.0,1.99376626844,0.0,0.0553037991329,0.0553037991329,0.0553037991329,0.123205679416,0.0252706876143,0.375064554145,0.323085518815,1.040516843
 01/01  11:00:00,0.912360236467,2.64749002904,0.0,1.70688558479,0.0,0.0481540874323,0.0481540874323,0.0481540874323,0.101778555585,0.0208757889786,0.395792849183,0.330683955288,0.917825334256
 01/01  12:00:00,0.887513951309,1.02334538763,0.0,0.193697851218,0.0,0.00539085358019,0.00539085358019,0.00539085358019,0.101778555585,0.0208757889786,0.413608485392,0.330785267774,0.806861447525
 01/01  13:00:00,0.862598905581,0.740385586541,0.0,0.0,0.0,0.0,0.0,0.0,0.101778555585,0.0208757889786,0.399656479991,0.325213081027,0.717983336826
 01/01  14:00:00,0.835623927166,0.684478463834,0.0,0.0,0.0,0.0,0.0,0.0,0.101778555585,0.0208757889786,0.361435815596,0.336458767007,0.661301556886
 01/01  15:00:00,0.831356818766,0.632352616124,0.0,0.0,0.0,0.0,0.0,0.0,0.107135353167,0.0219745204572,0.331767743197,0.355404201945,0.607870656
 01/01  16:00:00,0.891545084126,0.638252185525,0.0,0.0,0.0,0.0,0.0,0.0,0.133919208083,0.0274681505715,0.339922588697,0.375160136774,0.612409341072
 01/01  17:00:00,1.11959307789,0.705094698476,0.0,0.0,0.0,0.0,0.0,0.0,0.224984235001,0.0461464902322,0.389638662656,0.44374869,0.67452714279
 01/01  18:00:00,1.53810911013,0.84243121015,0.0,0.0,0.0,0.0,0.0,0.0,0.417827884001,0.0857006188716,0.480421867651,0.53908373961,0.805296515218
 01/01  19:00:00,1.81178851188,0.97151365173,0.0,0.0,0.0,0.0,0.0,0.0,0.621385061668,0.127452196829,0.432594020017,0.585282233363,0.931196581137
 01/01  20:00:00,1.76281772805,1.00133383503,0.0,0.0,0.0,0.0,0.0,0.0,0.658882445251,0.135143276261,0.349590650728,0.604126355815,0.959718690154
 01/01  21:00:00,1.63498306873,0.937294910416,0.0,0.0,0.0,0.0,0.0,0.0,0.567817418333,0.1164649366,0.310730298291,0.624895415507,0.894249092273
 01/01  22:00:00,1.49386947983,0.847405856287,0.0,0.0,0.0,0.0,0.0,0.0,0.476752324918,0.0977865969395,0.293949140492,0.610306417479,0.805364998878
 01/01  23:00:00,1.21042253394,0.724990698587,0.0,0.0185088304768,0.0,0.000513404534459,0.000513404534459,0.000513404534459,0.358903443084,0.0736146271644,0.234174068073,0.528141991089,0.670100893729
 01/01  24:00:00,0.939896385024,1.16370679507,0.0,0.616316069418,0.0,0.0174675137835,0.0174675137835,0.0174675137835,0.246411292335,0.050541388868,0.151455627092,0.458945562945,0.515776335864
 01/02  01:00:00,0.673138764626,1.65281673904,0.0,1.28764749598,0.0,0.0371448071888,0.0371448071888,0.0371448071888,0.128562410501,0.0263694190929,0.0863692416722,0.379617886171,0.339019327271
 01/02  02:00:00,0.580256158735,2.12916387942,0.0,1.83151477694,0.0,0.0530373994785,0.0530373994785,0.0530373994785,0.0749947671662,0.0153821588643,0.0722387554862,0.34952807774,0.273571918208
 01/02  03:00:00,0.553304894995,2.64931013325,0.0,2.36965516536,0.0,0.068484126212,0.068484126212,0.068484126212,0.0535676765835,0.0109872588647,0.0597152550472,0.345475578288,0.255856939372
 01/02  04:00:00,0.55429835878,3.11532760072,0.0,2.83090069406,0.0,0.0814448180242,0.0814448180242,0.0814448180242,0.0535676765835,0.0109872588647,0.0526110263622,0.340612578945,0.260963865059
 01/02  05:00:00,0.557307080522,3.35632086324,0.0,3.0206989992,0.0,0.0867795431961,0.0867795431961,0.0867795431961,0.0535676765835,0.0109872588647,0.0631517086927,0.327745893185,0.313045141977
